True Id,init_name,last_name,first_name,full_name,norm_name,place,affiliation,country
0,AHOMADEGBE C,AHOMADEGBE,C,AHOMADEGBE C,AHOMADEGBE CHRISTELLE,COTONOU,CNHU HKM PEOPLE LIVING HIVS AMBULATORY TREATMENT CTR,BENIN
0,AHOMADEGBE C,AHOMADEGBE,CHRISTELLE,AHOMADEGBE CHRISTELLE,AHOMADEGBE CHRISTELLE,COTONOU,CNHU HKM PEOPLE LIVING HIVS AMBULATORY TREATMENT CTR,BENIN
1,TOURE P,TOURE,PETY,TOURE PETY,TOURE PETY,ABIDJAN,ACONDA MTCT PLUS INITIAT,COTE IVOIRE
1,PETY T,PETY,TOURE,PETY TOURE,TOURE PETY,ABIDJAN,ACONDA MTCT PLUS INITIAT,COTE IVOIRE
2,ZANNOU D M,ZANNOU,D M,ZANNOU D M,ZANNOU DJIMON MARCEL,COTONOU,UNIV DABOMEY CALAVI  FAC SCI SANTE,BENIN
2,ZANNOU D M,ZANNOU,DJIMON MARCEL,ZANNOU DJIMON MARCEL,ZANNOU DJIMON MARCEL,COTONOU,UNIV DABOMEY CALAVI  FAC SCI SANTE,BENIN
2,ZANNOU D M,ZANNOU,DJIMON M,ZANNOU DJIMON M,ZANNOU DJIMON MARCEL,COTONOU,UNIV DABOMEY CALAVI  FAC SCI SANTE,BENIN
2,ZANNOU M D,ZANNOU,MARCEL D,ZANNOU MARCEL D,ZANNOU DJIMON MARCEL,COTONOU,UNIV DABOMEY CALAVI  FAC SCI SANTE,BENIN
2,ZANNOU D M,ZANNOU,D MARCEL,ZANNOU D MARCEL,ZANNOU DJIMON MARCEL,COTONOU,UNIV DABOMEY CALAVI  FAC SCI SANTE,BENIN
2,ZANNOU M D,ZANNOU,M D,ZANNOU M D,ZANNOU DJIMON MARCEL,COTONOU,UNIV DABOMEY CALAVI  FAC SCI SANTE,BENIN
2,ZANNOU M D,ZANNOU,MARCEL DJIMON,ZANNOU MARCEL DJIMON,ZANNOU DJIMON MARCEL,COTONOU,UNIV DABOMEY CALAVI  FAC SCI SANTE,BENIN
2,ZANNOU M,ZANNOU,MARCEL,ZANNOU MARCEL,ZANNOU DJIMON MARCEL,COTONOU,UNIV DABOMEY CALAVI  FAC SCI SANTE,BENIN
2,ZANNOU M,ZANNOU,M,ZANNOU M,ZANNOU DJIMON MARCEL,COTONOU,UNIV DABOMEY CALAVI  FAC SCI SANTE,BENIN
2,ZANNOU D M,ZANNOU,DM,ZANNOU DM,ZANNOU DJIMON MARCEL,COTONOU,UNIV DABOMEY CALAVI  FAC SCI SANTE,BENIN
2,ZANNOU D M,ZANNOU,DJIMONMARCEL,ZANNOU DJIMONMARCEL,ZANNOU DJIMON MARCEL,COTONOU,UNIV DABOMEY CALAVI  FAC SCI SANTE,BENIN
2,DJIMON M Z,DJIMON,MARCEL ZANNOU,DJIMON MARCEL ZANNOU,ZANNOU DJIMON MARCEL,COTONOU,UNIV DABOMEY CALAVI  FAC SCI SANTE,BENIN
3,TCHABI Y,TCHABI,Y,TCHABI Y,TCHABI Y,COTONOU,CNHU HKM DEPT CARDIOL,BENIN
4,AGODOKPESSI G,AGODOKPESSI,G,AGODOKPESSI G,AGODOKPESSI G,COTONOU,CTR NATL HOSP PNEUMOPHTISIOL,BENIN
5,AKAKPO J,AKAKPO,J,AKAKPO J,AKAKPO JOCELYN,COTONOU,CTR NATL HOSP,BENIN
5,AKAKPO J,AKAKPO,JOCELYN,AKAKPO JOCELYN,AKAKPO JOCELYN,COTONOU,CTR NATL HOSP,BENIN
6,AHOUADA C,AHOUADA,C,AHOUADA C,AHOUADA CARIN,COTONOU,CTA,BENIN
6,AHOUADA C,AHOUADA,CARIN,AHOUADA CARIN,AHOUADA CARIN,COTONOU,CTA,BENIN
7,BASHI J,BASHI,J,BASHI J,BASHI JULES,COTONOU,PNLS,BENIN
7,BASHI J,BASHI,JULES,BASHI JULES,BASHI JULES,COTONOU,PNLS,BENIN
8,ABDOULAYE I,ABDOULAYE,I,ABDOULAYE I,ABDOULAYE I,COTONOU,CNHU HKM BIOCHEM LAB,BENIN
