Id,init_name,last_name,first_name,affiliation,city,country
1,AHOMADEGBE C,AHOMADEGBE,C,CNHU HKM  People Living HIVs Ambulatory Treatment Ctr,Cotonou,Benin,
2,AHOMADEGBE C,AHOMADEGBE,C,CNHU HKM  Dept Internal Med,Cotonou,Benin,
3,AHOMADEGBE C,AHOMADEGBE,C,CNHU HKM  Dept Internal Med,Cotonou,Benin,
4,AHOMADEGBE C,AHOMADEGBE,C,CNHU HKM  Dept Internal Med,Cotonou,Benin,
5,ZANNOU D M,ZANNOU,D M,CNHU HKM  People Living HIVs Ambulatory Treatment Ctr,Cotonou,Benin,
6,ZANNOU D M,ZANNOU,D M,CNHU HKM  Dept Internal Med,Cotonou,Benin,
7,ZANNOU D M,ZANNOU,D M,CNHU HKM  Dept Internal Med,Cotonou,Benin,
8,ZANNOU D M,ZANNOU,D M,CNHU HKM  Dept Internal Med,Cotonou,Benin,
9,TCHABI Y,TCHABI,Y,,,,
10,TCHABI Y,TCHABI,Y,,,,
11,TCHABI Y,TCHABI,Y,CNHU HKM  Dept Cardiol,Cotonou,Benin,
12,TCHABI Y,TCHABI,Y,CNHU HKM  Dept Cardiol,Cotonou,Benin,
13,AKAKPO J,AKAKPO,J,CNHU HKM  People Living HIVs Ambulatory Treatment Ctr,Cotonou,Benin,
14,AKAKPO J,AKAKPO,J,CNHU HKM  People Living HIVs Ambulatory Treatment Ctr,Cotonou,Benin,
15,AKAKPO J,AKAKPO,J,CNHU HKM  People Living HIVs Ambulatory Treatment Ctr,Cotonou,Benin,
16,AKAKPO J,AKAKPO,J,CNHU HKM  People Living HIVs Ambulatory Treatment Ctr,Cotonou,Benin,
17,AHOUADA C,AHOUADA,C,CNHU HKM  People Living HIVs Ambulatory Treatment Ctr,Cotonou,Benin,
18,AHOUADA C,AHOUADA,C,CNHU HKM  Dept Internal Med,Cotonou,Benin,
19,AHOUADA C,AHOUADA,C,CNHU HKM  Dept Internal Med,Cotonou,Benin,
20,AHOUADA C,AHOUADA,C,CNHU HKM  Dept Internal Med,Cotonou,Benin,
21,BASHI J,BASHI,J,CNHU HKM  People Living HIVs Ambulatory Treatment Ctr,Cotonou,Benin,
22,BASHI J,BASHI,J,CNHU HKM  People Living HIVs Ambulatory Treatment Ctr,Cotonou,Benin,
23,BASHI J,BASHI,J,CNHU HKM  People Living HIVs Ambulatory Treatment Ctr,Cotonou,Benin,
24,BASHI J,BASHI,J,CNHU HKM  People Living HIVs Ambulatory Treatment Ctr,Cotonou,Benin,
25,ABDOULAYE I,ABDOULAYE,I,,,,
26,ABDOULAYE I,ABDOULAYE,I,,,,
27,ABDOULAYE I,ABDOULAYE,I,,,,
28,ABDOULAYE I,ABDOULAYE,I,CNHU HKM  Biochem Lab,Cotonou,Benin,
29,YOTEBIENG M,YOTEBIENG,MARCEL,Ohio State Univ  Coll Publ Hlth  Div Epidemiol,Columbus,OH 43210 USA,
30,YOTEBIENG M,YOTEBIENG,MARCEL,Univ N Carolina  Dept Epidemiol,Chapel Hill,NC USA,
31,YOTEBIENG M,YOTEBIENG,MARCEL,Univ N Carolina  Dept Epidemiol,Chapel Hill,NC USA,
