Cluster ID,confidence_score,Id,init_name,last_name,first_name,affiliation,city,country,canonical_city,canonical_first_name,canonical_last_name,canonical_country,canonical_affiliation,canonical_init_name,canonical_Id
0,0.99999995529651642,1,AHOMADEGBE C,AHOMADEGBE,C,CNHU HKM  People Living HIVs Ambulatory Treatment Ctr,Cotonou,Benin,cotonou,c,ahomadegbe,benin,cnhu hkm people living hivs ambulatory treatment ctr,ahomadegbe c,99
0,0.99999995529651642,2,AHOMADEGBE C,AHOMADEGBE,C,CNHU HKM  Dept Internal Med,Cotonou,Benin,cotonou,c,ahomadegbe,benin,cnhu hkm people living hivs ambulatory treatment ctr,ahomadegbe c,99
2,0.96795278932990092,3,ZANNOU D M,ZANNOU,D M,CNHU HKM  People Living HIVs Ambulatory Treatment Ctr,Cotonou,Benin,cotonou,djimon marcel,zannou,benin,cta,zannou d m,4
2,0.96760024239377274,4,ZANNOU D M,ZANNOU,D M,CNHU HKM  Dept Internal Med,Cotonou,Benin,cotonou,djimon marcel,zannou,benin,cta,zannou d m,4
3,1.0,5,TCHABI Y,TCHABI,Y,,,,cotonou,y,tchabi,benin,cnhu hkm dept cardiol,tchabi y,5
3,1.0,6,TCHABI Y,TCHABI,Y,CNHU HKM  Dept Cardiol,Cotonou,Benin,cotonou,y,tchabi,benin,cnhu hkm dept cardiol,tchabi y,5
5,0.99999799178196835,7,AKAKPO J,AKAKPO,J,CNHU HKM  People Living HIVs Ambulatory Treatment Ctr,Cotonou,Benin,cotonou,jocelyn,akakpo,benin,ctr natl hosp,akakpo j,7
6,0.99999994039535522,8,AHOUADA C,AHOUADA,C,CNHU HKM  People Living HIVs Ambulatory Treatment Ctr,Cotonou,Benin,cotonou,c,ahouada,benin,cta,ahouada c,8
6,0.99999994039535522,9,AHOUADA C,AHOUADA,C,CNHU HKM  Dept Internal Med,Cotonou,Benin,cotonou,c,ahouada,benin,cta,ahouada c,8
7,0.99999994039535522,10,BASHI J,BASHI,J,CNHU HKM  People Living HIVs Ambulatory Treatment Ctr,Cotonou,Benin,cotonou,j,bashi,benin,pnls,bashi j,1219
8,1.0,11,ABDOULAYE I,ABDOULAYE,I,,,,cotonou,i,abdoulaye,benin,cnhu hkm biochem lab,abdoulaye i,11
8,1.0,12,ABDOULAYE I,ABDOULAYE,I,CNHU HKM  Biochem Lab,Cotonou,Benin,cotonou,i,abdoulaye,benin,cnhu hkm biochem lab,abdoulaye i,11
10,1.0,13,YOTEBIENG M,YOTEBIENG,MARCEL,Ohio State Univ  Coll Publ Hlth  Div Epidemiol,Columbus,USA,columbus,marcel,yotebieng,usa,ohio state univ coll publ hlth div epidemiol,yotebieng m,13
10,1.0,14,YOTEBIENG M,YOTEBIENG,MARCEL,Univ N Carolina  Dept Epidemiol,Chapel Hill,USA,columbus,marcel,yotebieng,usa,ohio state univ coll publ hlth div epidemiol,yotebieng m,13
11,1.0,15,MEYERS T,MEYERS,TAMMY,,,,johannesburg,tammy,meyers,south africa,univ witwatersrand fac hlth sci dept pediat,meyers t,15
11,1.0,16,MEYERS T,MEYERS,TAMMY,Univ Witwatersrand  Fac Hlth Sci  Dept Pediat,Johannesburg,South Africa,johannesburg,tammy,meyers,south africa,univ witwatersrand fac hlth sci dept pediat,meyers t,15
13,1.0,17,BEHETS F,BEHETS,FRIEDA,,,,chapel hill,frieda,behets,usa,univ n carolina sch med,behets f,17
13,1.0,18,BEHETS F,BEHETS,FRIEDA,Univ N Carolina  Sch Med,Chapel Hill,USA,chapel hill,frieda,behets,usa,univ n carolina sch med,behets f,17
322,,19,DAVIES M A,DAVIES,MARYANN,,,,,,,,,,
16,1.0,20,KEISER O,KEISER,OLIVIA,,,,ch-3012 bern,olivia,keiser,switzerland,univ bern inst social & prevent med,keiser o,20
16,1.0,21,KEISER O,KEISER,OLIVIA,Univ Bern  Inst Social & Prevent Med,CH-3012 Bern,Switzerland,ch-3012 bern,olivia,keiser,switzerland,univ bern inst social & prevent med,keiser o,20
18,1.0,22,NGONYANI K Z,NGONYANI,KAPELLA ZACHARIA,,,,kibaha,kapella zacharia,ngonyani,tanzania,tumbi reg referral hosp,ngonyani k z,22
18,1.0,23,NGONYANI K Z,NGONYANI,KAPELLA ZACHARIA,Tumbi Reg Referral Hosp,Kibaha,Tanzania,kibaha,kapella zacharia,ngonyani,tanzania,tumbi reg referral hosp,ngonyani k z,22
20,1.0,24,LYAMUYA R E,LYAMUYA,RITA E,,,,morogoro,rita e,lyamuya,tanzania,morogoro reg hosp,lyamuya r e,24
20,1.0,25,LYAMUYA R E,LYAMUYA,RITA E,Morogoro Reg Hosp,Morogoro,Tanzania,morogoro,rita e,lyamuya,tanzania,morogoro reg hosp,lyamuya r e,24
22,1.0,26,KARIMINIA A,KARIMINIA,AZAR,,,,nsw,azar,kariminia,australia,univ new s wales kirby inst infect & immun soc darlinghurst,kariminia a,26
22,1.0,27,KARIMINIA A,KARIMINIA,AZAR,Univ New S Wales  Kirby Inst Infect & Immun Soc  Darlinghurst,NSW,Australia,nsw,azar,kariminia,australia,univ new s wales kirby inst infect & immun soc darlinghurst,kariminia a,26
24,1.0,28,HANSUDEWECHAKUL R,HANSUDEWECHAKUL,RAWIWAN,,,,chiangrai,rawiwan,hansudewechakul,thailand,chiangrai prachanukroh hosp,hansudewechakul r,28
24,1.0,29,HANSUDEWECHAKUL R,HANSUDEWECHAKUL,RAWIWAN,Chiangrai Prachanukroh Hosp,Chiangrai,Thailand,chiangrai,rawiwan,hansudewechakul,thailand,chiangrai prachanukroh hosp,hansudewechakul r,28
26,1.0,30,LEROY V,LEROY,VALERIANE,,,,bordeaux,valeriane,leroy,france,univ bordeaux,leroy v,1131
26,0.99999996143228864,31,LEROY V,LEROY,VALERIANE,Univ Bordeaux  Inst Sante Publ Epidemiol & Dev,Bordeaux,France,bordeaux,valeriane,leroy,france,univ bordeaux,leroy v,1131
26,0.99999996143228864,32,LEROY V,LEROY,VALERIANE,INSERM  Ctr Inserm Epidemiol & Biostat U897,Bordeaux,France,bordeaux,valeriane,leroy,france,univ bordeaux,leroy v,1131
28,0.99999983310699458,33,KOUMAKPAI S,KOUMAKPAI,SIKIRATOU,,,,cotonou,sikiratou,koumakpai,benin,ctr natl hosp univ hubert k maga,koumakpai s,1170
28,0.99999969005584721,34,KOUMAKPAI S,KOUMAKPAI,SIKIRATOU,Univ Hubert K Maga  Ctr Natl Hosp,Cotonou,Benin,cotonou,sikiratou,koumakpai,benin,ctr natl hosp univ hubert k maga,koumakpai s,1170
30,1.0,35,NEWMAN J,NEWMAN,JAMIE,,,,res triangle pk,jamie,newman,usa,rti int biostat & epidemiol,newman j,35
30,1.0,36,NEWMAN J,NEWMAN,JAMIE,RTI Int  Biostat & Epidemiol,Res Triangle Pk,USA,res triangle pk,jamie,newman,usa,rti int biostat & epidemiol,newman j,35
32,1.0,37,VAN RIE A,VAN RIE,ANNELIES,,,,chapel hill,annelies,van rie,usa,univ n carolina dept epidemiol,van rie a,37
32,1.0,38,VAN RIE A,VAN RIE,ANNELIES,Univ N Carolina  Dept Epidemiol,Chapel Hill,USA,chapel hill,annelies,van rie,usa,univ n carolina dept epidemiol,van rie a,37
34,0.99999997019767761,39,CHAMBERLAND A,CHAMBERLAND,ANNIE,Ctr Hosp Univ Montreal CRCHUM  Ctr Rech  Montreal,PQ,Canada,pq,annie,chamberland,canada,ctr hosp univ montreal crchum ctr rech montreal,chamberland a,91
35,0.99999994784593582,40,DIABATE S,DIABATE,SOULEYMANE,Ctr Hosp Univ Montreal CRCHUM  Ctr Rech  Montreal,PQ,Canada,pq,souleymane,diabate,canada,cha univ quebec ctr rech frqs cha unite rech sante populat quebec city,diabate s,90
36,0.99999871850013733,41,SYLLA M,SYLLA,MOHAMED,Ctr Hosp Univ Montreal CRCHUM  Ctr Rech  Montreal,PQ,Canada,pq,m,sylla,canada,ctr hosp univ montreal crchum ctr rech montreal,sylla m,865
37,0.9170384407043457,42,ANAGOUNOU S,ANAGOUNOU,SEVERIN,,,,cotonou,severin,anagonou,benin,ctr natl hosp univ,anagonou s,43
37,0.85034431351555717,43,ANAGOUNOU S,ANAGOUNOU,SEVERIN,Ctr Sante Cotonou I  Dispensaire IST,Cotonou,Benin,cotonou,severin,anagonou,benin,ctr natl hosp univ,anagonou s,43
38,0.99999997019767761,44,GERALDO N,GERALDO,NASSIROU,,,,cotonou,nassirou,geraldo,benin,ctr sante cotonou i dispensaire ist,geraldo n,44
38,0.99999997019767761,45,GERALDO N,GERALDO,NASSIROU,Ctr Sante Cotonou I  Dispensaire IST,Cotonou,Benin,cotonou,nassirou,geraldo,benin,ctr sante cotonou i dispensaire ist,geraldo n,44
2,0.97855343905890857,46,ZANNOU D M,ZANNOU,DJIMON MARCEL,,,,cotonou,djimon marcel,zannou,benin,cta,zannou d m,4
2,0.9436563427855329,47,ZANNOU D M,ZANNOU,DJIMON MARCEL,Ctr Natl Hosp Univ  Ctr Traitement Ambulatoire,Cotonou,Benin,cotonou,djimon marcel,zannou,benin,cta,zannou d m,4
40,1.0,48,LABBE A C,LABBE,ANNIECLAUDE,,,,,annieclaude,labbe,,,labbe a c,48
41,1.0,49,WOROBEY M,WOROBEY,MICHAEL,,,,tucson,michael,worobey,az usa,univ arizona dept ecol & evolutionary biol,worobey m,49
41,1.0,50,WOROBEY M,WOROBEY,MICHAEL,Univ Arizona  Dept Ecol & Evolutionary Biol,Tucson,AZ USA,tucson,michael,worobey,az usa,univ arizona dept ecol & evolutionary biol,worobey m,49
43,0.99999998150200675,51,ALARY M,ALARY,MICHEL,,,,pq,michel,alary,canada,univ laval quebec city,alary m,54
43,0.99999993217402494,52,ALARY M,ALARY,MICHEL,CHA Univ Quebec  Ctr Rech FRSQ  URESP  Quebec City,PQ,Canada,pq,michel,alary,canada,univ laval quebec city,alary m,54
43,0.99999999588933486,53,ALARY M,ALARY,MICHEL,Univ Laval  Dept Med Sociale & Prevent  Quebec City,PQ G1K 7P4,Canada,pq,michel,alary,canada,univ laval quebec city,alary m,54
43,0.99999993217402494,54,ALARY M,ALARY,MICHEL,Inst Natl Sante Publ Quebec  Quebec City,PQ,Canada,pq,michel,alary,canada,univ laval quebec city,alary m,54
46,0.99999998013178504,55,TREMBLAY C,TREMBLAY,CECILE,Ctr Hosp Univ Montreal CRCHUM  Ctr Rech  Montreal,PQ,Canada,pq,cecile,tremblay,canada,ctr hosp univ montreal crchum ctr rech montreal,tremblay c,100
46,1.0,56,TREMBLAY C,TREMBLAY,CECILE,Univ Montreal  Dept Microbiol & Immunol  Montreal,PQ H3C 3J7,Canada,pq,cecile,tremblay,canada,ctr hosp univ montreal crchum ctr rech montreal,tremblay c,100
48,0.99999996026357019,57,JESSON J,JESSON,JULIE,INSERM  Epidemiol Biostat U897  Ctr Inserm,Bordeaux,France,bordeaux,julie,jesson,france,univ bordeaux ctr inserm epidemiol biostat u897 isped,jesson j,1097
48,0.99999996026357019,58,JESSON J,JESSON,JULIE,Univ Bordeaux  Ctr Inserm  Epidemiol Biostat U897  ISPED,Bordeaux,France,bordeaux,julie,jesson,france,univ bordeaux ctr inserm epidemiol biostat u897 isped,jesson j,1097
28,0.99999963045120244,59,KOUMAKPAI S,KOUMAKPAI,SIKIRATOU,Ctr Natl Hosp Univ Hubert K Maga,Cotonou,Benin,cotonou,sikiratou,koumakpai,benin,ctr natl hosp univ hubert k maga,koumakpai s,1170
50,1.0,60,DIAGNE N R,DIAGNE,NDEYE R,,,,dakar,ndeye r,diagne,senegal,hop enfants albert royer,diagne n r,60
50,1.0,61,DIAGNE N R,DIAGNE,NDEYE R,Hop Enfants Albert Royer,Dakar,Senegal,dakar,ndeye r,diagne,senegal,hop enfants albert royer,diagne n r,60
323,,62,AMORISSANIFOLQUET M,AMORISSANIFOLQUET,MADELEINE,,,,,,,,,,
52,1.0,63,KOUETA F,KOUETA,FLA,,,,ouagadougou,fla,koueta,burkina faso,chu charles gaulle hop pediat,koueta f,63
52,0.99999995529651642,64,KOUETA F,KOUETA,FLA,Ctr Hosp Univ Charles de Gaulle  Hop Pediat,Ouagadougou,Burkina Faso,ouagadougou,fla,koueta,burkina faso,chu charles gaulle hop pediat,koueta f,63
53,1.0,65,AKA A,AKA,ADDI,,,,abidjan,addi,aka,cote ivoire,ctr prise charge rech & format cepref,aka a,65
53,1.0,66,AKA A,AKA,ADDI,Ctr Prise Charge Rech & Format CePReF,Abidjan,Cote Ivoire,abidjan,addi,aka,cote ivoire,ctr prise charge rech & format cepref,aka a,65
324,,67,LAWSONEVI K,LAWSONEVI,KOKO,,,,,,,,,,
58,1.0,68,DICKO F,DICKO,FATOUMATA,,,,bamako,fatoumata,dicko,mali,hop gabriel toure,dicko f,68
58,0.99999996026357019,69,DICKO F,DICKO,FATOUMATA,Hop Gabriel Toure,Bamako,Mali,bamako,fatoumata,dicko,mali,hop gabriel toure,dicko f,68
60,1.0,70,KOUAKOU K,KOUAKOU,KOUADIO,,,,abidjan,kouadio,kouakou,cote ivoire,cirba,kouakou k,70
60,1.0,71,KOUAKOU K,KOUAKOU,KOUADIO,CIRBA,Abidjan,Cote Ivoire,abidjan,kouadio,kouakou,cote ivoire,cirba,kouakou k,70
62,1.0,72,PETY T,PETY,TOURE,,,,abidjan,toure,pety,cote ivoire,programme mtct,pety t,72
62,1.0,73,PETY T,PETY,TOURE,Programme MTCT,Abidjan,Cote Ivoire,abidjan,toure,pety,cote ivoire,programme mtct,pety t,72
63,1.0,74,RENNER L,RENNER,LORNA,,,,accra,lorna,renner,ghana,korle bu hosp,renner l,74
63,0.99999996026357019,75,RENNER L,RENNER,LORNA,Korle Bu Hosp,Accra,Ghana,accra,lorna,renner,ghana,korle bu hosp,renner l,74
65,1.0,76,EBOUA T,EBOUA,TANOH,,,,abidjan,tanoh,eboua,cote ivoire,ctr hosp univ yopougon serv pediat,eboua t,76
65,1.0,77,EBOUA T,EBOUA,TANOH,Ctr Hosp Univ Yopougon  Serv Pediat,Abidjan,Cote Ivoire,abidjan,tanoh,eboua,cote ivoire,ctr hosp univ yopougon serv pediat,eboua t,76
67,0.99999936421712243,78,COFFIE P A,COFFIE,PATRICK A,,,,abidjan,patrick a,coffie,cote ivoire,bur reg ledea w africa programme pacci,coffie p a,465
67,0.99998350938161218,79,COFFIE P A,COFFIE,PATRICK A,PACCI  Reg IeDEA Coordinat,Abidjan,Cote Ivoire,abidjan,patrick a,coffie,cote ivoire,bur reg ledea w africa programme pacci,coffie p a,465
69,0.99999994701809358,80,DESMONDE S,DESMONDE,SOPHIE,INSERM  Epidemiol Biostat U897  Ctr Inserm,Bordeaux,France,bordeaux,sophie,desmonde,france,univ bordeaux,desmonde s,186
