Id,init_name,full_name,affiliation,city,country
1,ABAGLI A Z,ABAGLI AYABA Z,Univ Abomey Calavi  Fac Sci & Technol  Lab Entomol Appl,Cotonou,Benin
2,ABATE L,ABATE LUC,IRD  MIVEGEC  CNRS IRD UM1 UM2 5290 224,Montpellier,France
3,ABDALLAH A M,ABDALLAH AHMED M,,,
4,ABDALLAH A M,ABDALLAH AHMED M,KEMRI Wellcome Trust Res Programme,Kilifi,Kenya
5,ABDALLAH F,ABDALLAH FOAD,,,
6,ABDELRAHMAN T,ABDELRAHMAN TAMER,,,
7,ABDELRAHMAN T,ABDELRAHMAN TAMER,Publ Hlth Wales NHS Trust  Cardiff,S Glam,Wales
8,ABDULLA S,ABDULLA SALIM,Ifakara Hlth Inst,Dar Es Salaam,Tanzania
9,ABDULLA S,ABDULLA SALIM,,,
10,ABDULLA S,ABDULLA S,,,
11,ABDULLA S,ABDULLA S,Ifakara Hlth Res & Dev Ctr,Dar Es Salaam,Tanzania
12,ABDULLA S,ABDULLA SALIM,Ifakara Hlth Inst IHI,Dodoma,Tanzania
13,ABDULLA S,ABDULLA S,Ifakara Hlth Inst,Dar Es Salaam,Tanzania
14,ABDULLA S,ABDULLA SALIM,Ifakara Hlth Inst,Dodoma,Tanzania
15,ABDULLA S,ABDULLA S,Ifakara Hlth Inst,Dodoma,Tanzania
16,ABERA S F,ABERA SEMAW FEREDE,,,
17,ABERA S F,ABERA SEMAW FEREDE,Mekelle Univ  Coll Hlth Sci  Sch Publ Hlth,Mekelle,Ethiopia
18,ABIOU G,ABIOU GRACE,,,
19,ABIOU G,ABIOU GRACE,Fac Hlth Sci  Dept Parasitol,Cotonou,Benin
20,ABIOU G,ABIOU G,,,
21,ABIOU G,ABIOU G,Fac Hlth Sci,Cotonou,Benin
22,ABIOU G,ABIOU GRACE,Parasitol,Cotonou,Benin
23,ABLEY S,ABLEY S,,,
24,ABOUBACAR A,ABOUBACAR AHMED,Univ Strasbourg  Inst Parasitol & Pathol Tropicale,F-67000 Strasbourg,France
25,ABOUBACAR A,ABOUBACAR AHMED,,,
26,ABOUBAKAR S,ABOUBAKAR SIDICK,,,
27,ABOUBAKAR S,ABOUBAKAR SIDICK,CREC,Cotonou,Benin
28,ABRAHAM J P,ABRAHAM JERRY P,,,
29,ABRAHAM J P,ABRAHAM JERRY P,Univ Texas San Antonio  Sch Med,San Antonio,TX USA
30,ABUBAKAR I,ABUBAKAR IBRAHIM,,,
31,ABUBAKAR I,ABUBAKAR IBRAHIM,UCL,London,England
32,ABURADDAD L J,ABURADDAD LAITH J,,,
33,ABURMEILEH N M,ABURMEILEH NIVEEN ME,,,
34,ACCROMBESSI G,ACCROMBESSI GEORGES,UAC  Fac Sci & Tech FAST  Lab Phys & Synth Organ Chem LaCOPS,Cotonou,Benin
35,ACCROMBESSI M,ACCROMBESSI MANFRED,IRD  Mere & Enfant Face Infect Trop UMR216,Paris,France
36,ACCROMBESSI M,ACCROMBESSI MANFRED,Univ Paris 05  PRES Paris Sorbonne Cite,Paris,France
37,ACCROMBESSI M,ACCROMBESSI MANFRED,Univ Abomey Calavi  Fac Med Cotonou,Cotonou,Benin
38,ACCROMBESSI M,ACCROMBESSI MANFRED,,,
39,ACCROMBESSI M,ACCROMBESSI MANFRED,Univ Abomey Calavi  Fac Sci Sante FSS,Cotonou,Benin
40,ACCROMBESSI M,ACCROMBESSI MANFRED,Inst Rech Dev IRD,Paris,France
41,ACCROMBESSI M,ACCROMBESSI M,Univ Badji Mokhtar  Fac Med,Cotonou,Benin
42,ACCROMBESSI M,ACCROMBESSI MANFRED,Univ Abomey Calavi  Fac Sci Sante,Cotonou,Benin
43,ACCROMBESSI M,ACCROMBESSI MANFRED,Inst Rech Dev,Paris,France
44,ACCROMBESSI M,ACCROMBESSI M,,,
45,ACCROMBESSI M,ACCROMBESSI M,Fac Sci Sante,Cotonou,Benin
46,ACCROMBESSI M,ACCROMBESSI M,IRD,Paris,France
47,ACCROMBESSI M,ACCROMBESSI MANFRED,Univ Paris 06,Paris,France
48,ACCROMBESSI M,ACCROMBESSI MANFRED,Univ Paris 05  Sorbonne Paris Cite,Paris,France
49,ACCROMBESSI M M K,ACCROMBESSI MANFRED M K,,,
50,ACCROMBESSI M M K,ACCROMBESSI MANFRED M K,Cotonou Lab Microbiol  Fac Sci Sante,Cotonou,Benin
51,ACCROMBESSI M M K,ACCROMBESSI M M K,,,
52,ACCROMBESSI M M K,ACCROMBESSI M M K,Fac Sci Sante,Cotonou,Benin
53,ACCROMBESSI M M K,ACCROMBESSI MANFRED M K,Fac Sci Sante,Cotonou,Benin
54,ACCROMBESSI M M K,ACCROMBESSI MANFRED M K,Fac Sci Sante  Parasitol Lab,Cotonou,Benin
55,ACHAN J,ACHAN JANE,,,
56,ACHAN J,ACHAN JANE,Uganda Malaria Surveillance Project,Kampala,Uganda
57,ACHAN J,ACHAN JANE,MRC Unit,Fajara,Gambia
58,ACHOKI T,ACHOKI TOM,,,
59,ACHOKI T,ACHOKI TOM,Minist Hlth,Gaborone,Botswana
60,ADAKAL H,ADAKAL HASSANE,,,
61,ADAKAL H,ADAKAL HASSANE,Univ Dan Dicko Dan Koulodo  Dept Sci & Tech Elevage DSTE FASE  BP 465,Maradi,Niger
62,ADAM I,ADAM ISHAG,,,
63,ADAM I,ADAM ISHAG,Univ Khartoum  Fac Med,Khartoum,Sudan
64,ADAM I,ADAM I,,,
65,ADAM I,ADAM I,Univ Khartoum  Fac Med,Khartoum,Sudan
66,ADAMOU R,ADAMOU RAFIOU,CERPAGE,Cotonou,Benin
67,ADAMOU R,ADAMOU RAFIOU,MERIT UMR 216 Mere & Enfant Face Infect Trop  Inst Rech Dev,Paris,France
68,ADAMOU R,ADAMOU RAFIOU,Univ Paris 05  COMUE Sorbonne Paris Cite  Fac Sci Pharmaceut & Biol,Paris,France
69,ADECHOUBOU A,ADECHOUBOU ALIOUN,,,
70,ADECHOUBOU A,ADECHOUBOU ALIOUN,Programme Natl Lutte Paludisme,Cotonou,Benin
71,ADECHOUBOU A,ADECHOUBOU ALIOUN,Minist Sante  Programme Natl Lutte Conte Paludisme PNLP,Cotonou,Benin
72,ADEDEJI A A,ADEDEJI AHMED ADEBOWALE,,,
73,ADEDEJI A A,ADEDEJI AHMED ADEBOWALE,Kampala Int Univ  Dept Pharmacol & Toxicol  Ishaka,Bushenyi,Uganda
74,ADEGNIKA A A,ADEGNIKA AYOLA AKIM,,,
75,ADEGNIKA A A,ADEGNIKA AYOLA AKIM,Ctr Rech Med Lambarene,Lambarene,Gabon
76,ADEGNIKA A A,ADEGNIKA AYOLA AKIM,Univ Tubingen  Inst Trop Med,Tubingen,Germany
77,ADEGNIKA A A,ADEGNIKA AYOLA A,,,
78,ADEGNIKA A A,ADEGNIKA AYOLA A,Albert Schweitzer Hosp  Ctr Rech Med Lambarene,Lambarene,Gabon
79,ADEGNIKA A A,ADEGNIKA AYOLA A,Univ Tubingen  Inst Trop Med,Tubingen,Germany
80,ADEGNIKA A A,ADEGNIKA AYOLA A,Leiden Med Univ Ctr  Dept Parasitol,Leiden,Netherlands
81,ADEHAN S,ADEHAN SAFIOU,Ecole Polytech Abomey Calavi  URBPSA  Lab Rech Biol Appl  01 BP 2009,Cotonou,Benin
82,ADEOGUN A,ADEOGUN ADEDAPO,,,
83,ADEOGUN A,ADEOGUN ADEDAPO,Nigerian Inst Med Res  Publ Hlth Div,Lagos,Nigeria
84,ADEOTHY A,ADEOTHY ADICAT,,,
85,ADEOTHY A,ADEOTHY ADICAT,IRD,Cotonou,Benin
86,ADEOTHY A A,ADEOTHY ADICATH ADEOLA,,,
87,ADEOTHY A A,ADEOTHY ADICATH ADEOLA,Univ Abomey Calavi  Fac Sci Sante,Calavi,Benin
88,ADEOTHY A I,ADEOTHY A I,,,
89,ADEOTHY A I,ADEOTHY ADICATOUIAI,,,
90,ADEOTHY A L,ADEOTHY A L,,,
91,ADEOTI R,ADEOTI RAZACK,Int Inst Trop Agr  08 BP 0932,Cotonou,Benin
92,ADEYEMO A O,ADEYEMO AUSTINE OLUFEMI,,,
93,ADEYEMO A O,ADEYEMO AUSTINE OLUFEMI,Evidence Act MamaYe  Freetown,Western Area,Sierra Leone
94,ADIMAZOYA M,ADIMAZOYA MICHELE,Noguchi Mem Inst Med Res  POB LG 581,Legon,Ghana
95,ADJAGBAOLAKPO M,ADJAGBAOLAKPO M,,,
96,ADJEI G O,ADJEI GEORGE O,,,
97,ADJEI G O,ADJEI GEORGE O,Univ Ghana  Sch Med  Ctr Trop Clin Pharmacol & Therapeut,Accra,Ghana
98,ADJEI G O,ADJEI G O,,,
99,ADJEI G O,ADJEI G O,Univ Ghana  Sch Med  Ctr Trop Clin Pharmacol & Therapeut,Accra,Ghana
100,ADJIBABI C B,ADJIBABI CHERIFATOU BELLO,,,
101,ADJIBABI C B,ADJIBABI CHERIFATOU BELLO,Minist Sante  PNLP,Cotonou,Benin
102,ADJOBIMEY T,ADJOBIMEY T,,,
103,ADJUIK M A,ADJUIK MARTIN A,,,
104,ADJUIK M A,ADJUIK MARTIN A,INDEPTH Network Secretariat,Accra,Ghana
105,ADOU A K,ADOU ARSENE KOUABLAN,,,
106,ADOU A K,ADOU ARSENE KOUABLAN,Assoc Ivoirienne Bien Etre Familial,Abidjan,Cote Ivoire
107,ADOVOHEKPE P,ADOVOHEKPE PAUL,,,
108,ADOVOHEKPE P,ADOVOHEKPE PAUL,UNICEF Benin,Cotonou,Benin
109,ADSUAR J C,ADSUAR JOSE C,,,
110,ADSUAR J C,ADSUAR JOSE C,Univ Extremadura,Caceres,Spain
111,AFANGNIHOUN A,AFANGNIHOUN A,,,
112,AFANGNIHOUN A,AFANGNIHOUN A,Hop Zone Suru Lere Ctr Traitement Ambulatoire,Cotonou,Benin
113,AFANGNIHOUN A,AFANGNIHOUN ALDRIC,,,
114,AFANGNIHOUN A,AFANGNIHOUN ALDRIC,Hop Zone Suru Lere  Ctr Traitement Ambulatoire,Cotonou,Benin
115,AFFARA M,AFFARA MUNA,,,
116,AFFARA M,AFFARA MUNA,MRC Labs,Banjul,Gambia
117,AFFARA M,AFFARA MUNA,MRC Unit,Fajara,Gambia
118,AFFEDJOU J,AFFEDJOU JACQUELINE,,,
119,AFFEDJOU J,AFFEDJOU JACQUELINE,Univ Paris 05  Fac Pharm  Sorbonne Paris Cite  PRES,Paris,France
120,AFFO A,AFFO ALPHONSE,,,
121,AFFO A,AFFO ALPHONSE,UNICEF Benin,Cotonou,Benin
