Id,init_name,last_name,first_name,affiliation,city,country
1,DJENONTIN A,DJENONTIN,ARMEL,Univ Abomey Calavi  Fac Sci & Tech,Cotonou,Benin
2,DJENONTIN A,DJENONTIN,ARMEL,IRD  MIVEGEC  UM CNRS IRD 224 5290,Cotonou,Benin
3,DJENONTIN A,DJENONTIN,ARMEL,CREC,Cotonou,Benin
4,ALOU L P A,ALOU,LUDOVIC P AHOUA,,,
5,ALOU L P A,ALOU,LUDOVIC P AHOUA,INSP  IPR,Bouake,Cote Ivoire
6,KOFFI A,KOFFI,ALPHONSINE,,,
7,KOFFI A,KOFFI,ALPHONSINE,INSP  IPR,Bouake,Cote Ivoire
8,ZOGO B,ZOGO,BARNABAS,,,
9,ZOGO B,ZOGO,BARNABAS,IRD  MIVEGEC  UM CNRS IRD 224 5290,Cotonou,Benin
10,ZOGO B,ZOGO,BARNABAS,CREC,Cotonou,Benin
11,DUARTE E,DUARTE,ELVES,,,
12,DUARTE E,DUARTE,ELVES,IRD  MIVEGEC  UM CNRS IRD 224 5290,Cotonou,Benin
13,DUARTE E,DUARTE,ELVES,CREC,Cotonou,Benin
14,NGUESSAN R,NGUESSAN,RAPHAEL,,,
15,MOIROUX N,MOIROUX,NICOLAS,,,
16,MOIROUX N,MOIROUX,NICOLAS,IRD  MIVEGEC  UM CNRS IRD 224 5290,Montpellier,France
17,PENNETIER C,PENNETIER,CEDRIC,,,
18,PENNETIER C,PENNETIER,CEDRIC,IRD  MIVEGEC  UM CNRS IRD 224 5290,Cotonou,Benin
19,BIGUEZOTON A,BIGUEZOTON,ABEL,Ecole Polytech Abomey Calavi  URBPSA  Lab Rech Biol Appl  01 BP 2009,Cotonou,Benin
20,BIGUEZOTON A,BIGUEZOTON,ABEL,Ctr Int Rech Dev Elevage Zone Subhumide CIRDES  Unite Rech Bases Biol Lutte Integree URBIO  559 3-51 Ave Gouverneur Louveau 01BP 454,Bobo Dioulasso 01,Burkina Faso
21,BIGUEZOTON A,BIGUEZOTON,ABEL,IRD  UR Malad Infect & Vecteurs Ecol Genet Evol & Cont,Montpellier,France
22,NOEL V,NOEL,VALERIE,,,
23,NOEL V,NOEL,VALERIE,IRD  UR Malad Infect & Vecteurs Ecol Genet Evol & Cont,Montpellier,France
24,NOEL V,NOEL,VALERIE,Univ Montpellier  CNRS  UMR MIVEGEC 5290,F-34059 Montpellier,France
