True Id,Cluster ID,Id,init_name,last_name,first_name,affiliation,city,country
0,0,64,DJENONTIN A,DJENONTIN,ARMEL,CREC  Minist Sante,Montpellier,France
0,0,65,DJENONTIN A,DJENONTIN,ARMEL,Univ dAbomey Calavi  Fac Sci & Tech,Montpellier,France
0,0,6201,DJENONTIN A,DJENONTIN,ARMEL,Univ Montpellier I  IRD 224  CNRS 5290  MIVEGEC,Montpellier,France
0,0,6202,DJENONTIN A,DJENONTIN,ARMEL,Univ Montpellier 2,Montpellier,France
0,0,1,DJENONTIN A,DJENONTIN,ARMEL,Univ Abomey Calavi  Fac Sci & Tech,Cotonou,Benin
0,0,2,DJENONTIN A,DJENONTIN,ARMEL,IRD  MIVEGEC  UM CNRS IRD 224 5290,Cotonou,Benin
0,0,3,DJENONTIN A,DJENONTIN,ARMEL,CREC,Cotonou,Benin
0,0,63,DJENONTIN A,DJENONTIN,ARMEL,IRD  CNRS 5290  IRD 224  MIVEGEC UM1 UM2,Cotonou,Benin
0,0,224,DJENONTIN A,DJENONTIN,ARMEL,CREC  IRD  Unite Rech 016,Cotonou,Benin
0,0,763,DJENONTIN A,DJENONTIN,ARMEL,IRD CREC Cotonou,Cotonou,Benin
0,0,764,DJENONTIN A,DJENONTIN,ARMEL,Univ Abomey Calavi,Cotonou,Benin
0,0,1477,DJENONTIN A,DJENONTIN,ARMEL,Inst Rech Dev,Cotonou,Benin
0,0,1584,DJENONTIN A,DJENONTIN,ARMEL,IRD  MIVEGEC IRD CNRS UM1 224 5290,Cotonou,Benin
0,0,1585,DJENONTIN A,DJENONTIN,ARMEL,Minist Sante  CREC,Cotonou,Benin
0,0,1791,DJENONTIN A,DJENONTIN,ARMEL,IRD 224 CNRS 5290 UM1 UM2  MIVEGEC  Inst Rech Dev,Cotonou,Benin
0,0,1792,DJENONTIN A,DJENONTIN,ARMEL,Ctr Rech Entomol Cotonou  Minist Sante,Cotonou,Benin
0,0,2114,DJENONTIN A,DJENONTIN,ARMEL,IRD  MIVEGEC IRD CNRS 5290 UM1 UM2 224,Cotonou,Benin
0,0,2255,DJENONTIN A,DJENONTIN,ARMEL,IRD  UR016,Cotonou,Benin
0,0,2744,DJENONTIN A,DJENONTIN,ARMEL,Univ Montpellier I  IRD224  CNRS5290  UMR MIVEGEC IRD CREC,Cotonou,Benin
0,0,2745,DJENONTIN A,DJENONTIN,ARMEL,Univ Montpellier 2  IRD224  CNRS5290  UMR MIVEGEC IRD CREC,Cotonou,Benin
0,0,2746,DJENONTIN A,DJENONTIN,ARMEL,Univ Abomey Calavi  Fac Sci & Tech  Lab Evolut Biodiversite Arthropodes & Assainissem,Abomey Calavi,Benin
0,0,3054,DJENONTIN A,DJENONTIN,ARMEL,CNRS  UM1 UM2 5290  IRD 224  Inst Rech Dev Malad Infect & Vecteurs,Cotonou,Benin
0,0,3055,DJENONTIN A,DJENONTIN,ARMEL,Ctr Rech Entomol Cotonou,Cotonou,Benin
0,0,3320,DJENONTIN A,DJENONTIN,ARMEL,Univ Abomey Calavi  Ctr Rech Entomol Cotonou  Fac Sci & Tech MIVEGEC IRD CNRS UM1 UM2 224 5290,Cotonou,Benin
0,0,4171,DJENONTIN A,DJENONTIN,ARMEL,CREC  IRD  UR016,Cotonou,Benin
0,0,4856,DJENONTIN A,DJENONTIN,ARMEL,MIVEGEC IRD 224 CNRS 5290 UM1 UM2  Inst Rech Dev,Cotonou,Benin
0,0,4857,DJENONTIN A,DJENONTIN,ARMEL,Minist Sante  Ctr Rech Entomol Cotonou,Cotonou,Benin
