Cluster ID,confidence_score,Id,init_name,full_name,affiliation,city,country,canonical_city,canonical_country,canonical_affiliation,canonical_init_name,canonical_full_name,canonical_Id
1427,,1,ABAGLI A Z,ABAGLI AYABA Z,Univ Abomey Calavi  Fac Sci & Technol  Lab Entomol Appl,Cotonou,Benin,,,,,,
1428,,2,ABATE L,ABATE LUC,IRD  MIVEGEC  CNRS IRD UM1 UM2 5290 224,Montpellier,France,,,,,,
0,0.82898706197738647,3,ABDALLAH A M,ABDALLAH AHMED M,,,,kilifi,kenya,kemri wellcome trust res programme,abdallah a m,abdallah ahmed m,3
0,0.82898706197738647,4,ABDALLAH A M,ABDALLAH AHMED M,KEMRI Wellcome Trust Res Programme,Kilifi,Kenya,kilifi,kenya,kemri wellcome trust res programme,abdallah a m,abdallah ahmed m,3
0,0.66305232048034668,5,ABDALLAH F,ABDALLAH FOAD,,,,kilifi,kenya,kemri wellcome trust res programme,abdallah a m,abdallah ahmed m,3
1,0.994922,6,ABDELRAHMAN T,ABDELRAHMAN TAMER,,,,s glam,wales,publ hlth wales nhs trust cardiff,abdelrahman t,abdelrahman tamer,6
1,0.994922,7,ABDELRAHMAN T,ABDELRAHMAN TAMER,Publ Hlth Wales NHS Trust  Cardiff,S Glam,Wales,s glam,wales,publ hlth wales nhs trust cardiff,abdelrahman t,abdelrahman tamer,6
2,0.9962432043892997,8,ABDULLA S,ABDULLA SALIM,Ifakara Hlth Inst,Dar Es Salaam,Tanzania,dar es salaam,tanzania,ifakara hlth inst,abdulla s,abdulla salim,10
2,0.99404091494424007,9,ABDULLA S,ABDULLA SALIM,,,,dar es salaam,tanzania,ifakara hlth inst,abdulla s,abdulla salim,10
2,0.99404091494424007,10,ABDULLA S,ABDULLA S,,,,dar es salaam,tanzania,ifakara hlth inst,abdulla s,abdulla salim,10
2,0.99570288828441078,11,ABDULLA S,ABDULLA S,Ifakara Hlth Res & Dev Ctr,Dar Es Salaam,Tanzania,dar es salaam,tanzania,ifakara hlth inst,abdulla s,abdulla salim,10
2,0.99604697738374981,12,ABDULLA S,ABDULLA SALIM,Ifakara Hlth Inst IHI,Dodoma,Tanzania,dar es salaam,tanzania,ifakara hlth inst,abdulla s,abdulla salim,10
2,0.99624404736927574,13,ABDULLA S,ABDULLA S,Ifakara Hlth Inst,Dar Es Salaam,Tanzania,dar es salaam,tanzania,ifakara hlth inst,abdulla s,abdulla salim,10
2,0.99620495523725239,14,ABDULLA S,ABDULLA SALIM,Ifakara Hlth Inst,Dodoma,Tanzania,dar es salaam,tanzania,ifakara hlth inst,abdulla s,abdulla salim,10
2,0.99624944584710262,15,ABDULLA S,ABDULLA S,Ifakara Hlth Inst,Dodoma,Tanzania,dar es salaam,tanzania,ifakara hlth inst,abdulla s,abdulla salim,10
3,0.994922,16,ABERA S F,ABERA SEMAW FEREDE,,,,mekelle,ethiopia,mekelle univ coll hlth sci sch publ hlth,abera s f,abera semaw ferede,16
3,0.994922,17,ABERA S F,ABERA SEMAW FEREDE,Mekelle Univ  Coll Hlth Sci  Sch Publ Hlth,Mekelle,Ethiopia,mekelle,ethiopia,mekelle univ coll hlth sci sch publ hlth,abera s f,abera semaw ferede,16
4,0.99395039677619934,18,ABIOU G,ABIOU GRACE,,,,cotonou,benin,fac hlth sci dept parasitol,abiou g,abiou grace,20
4,0.99532526731491089,19,ABIOU G,ABIOU GRACE,Fac Hlth Sci  Dept Parasitol,Cotonou,Benin,cotonou,benin,fac hlth sci dept parasitol,abiou g,abiou grace,20
4,0.99346469342708588,20,ABIOU G,ABIOU G,,,,cotonou,benin,fac hlth sci dept parasitol,abiou g,abiou grace,20
4,0.99436110258102417,21,ABIOU G,ABIOU G,Fac Hlth Sci,Cotonou,Benin,cotonou,benin,fac hlth sci dept parasitol,abiou g,abiou grace,20
