True Id,init_name,last_name,first_name,full_name,norm_name,place,affiliation,country
218,NAMBOZI M,NAMBOZI,MICHAEL,NAMBOZI MICHAEL,NAMBOZI MICHAEL,NDOLA,TROP DIS RES CTR,ZAMBIA
1032,MAPOMA C C,MAPOMA,CHRISTOPHER CHABILA,MAPOMA CHRISTOPHER CHABILA,MAPOMA CHRISTOPHER CHABILA,LUSAKA,UNIV ZAMBIA,ZAMBIA
1353,MPASELA F,MPASELA,FELTON,MPASELA FELTON,MPASELA FELTON,LUSAKA,SOC FAMILY HLTH,ZAMBIA
1359,HAMAINZA B,HAMAINZA,BUSIKU,HAMAINZA BUSIKU,HAMAINZA BUSIKU,LUSAKA,NATL MALARIA CONTROL CTR,ZAMBIA
646,TSHEFU A,TSHEFU,ANTOINETTE,TSHEFU ANTOINETTE,TSHEFU ANTOINETTE,KINSHASA,UNIV KINSHASA KINSHASA SCH PUBL HLTH,ZAIRE
1349,AKULAYI L,AKULAYI,LOUIS,AKULAYI LOUIS,AKULAYI LOUIS,KINSHASA,ASSOC SANTE FAMILIALE,ZAIRE
1355,AGBANGO J A,AGBANGO,JEAN ANGBALU,AGBANGO JEAN ANGBALU,AGBANGO JEAN ANGBALU,KINSHASA,NATL MALARIA CONTROL PROGRAMME,ZAIRE
1485,LUNGIAMBUDILA O,LUNGIAMBUDILA,OSCAR,LUNGIAMBUDILA OSCAR,LUNGIAMBUDILA O,KINSHASA,UNIV KINSHASA UNIKIN  FAC SCI  DEPT MATH & INFORMAT  BP 190,ZAIRE
609,ABDELRAHMAN T,ABDELRAHMAN,TAMER,ABDELRAHMAN TAMER,ABDELRAHMAN TAMER,GLAM,PUBL HLTH WALES NHS TRUST CARDIFF,WALES
906,BEARDSLEY J,BEARDSLEY,JUSTIN,BEARDSLEY JUSTIN,BEARDSLEY JUSTIN,HO CHI MINH CITY,UNIV OXFORD,VIETNAM
93,SIMARD E P,SIMARD,EDGAR P,SIMARD EDGAR P,SIMARD EDGAR P,ATLANTA,SURVEILLANCE & HLTH SERV RES PROGRAM AMER CANC SO,USA
150,DESAI M,DESAI,MEGHNA,DESAI MEGHNA,DESAI MEGHNA,ATLANTA,CTR DIS CONTROL & PREVENT DIV PARASIT DIS & MALARIA,USA
153,DORSEY G,DORSEY,GRANT,DORSEY GRANT,DORSEY GRANT,SAN FRANCISCO,UNIV CALIF SAN FRANCISCO DEPT MED,USA
176,GREENHOUSE B,GREENHOUSE,BRYAN,GREENHOUSE BRYAN,GREENHOUSE BRYAN,SAN FRANCISCO,UNIV CALIF SAN FRANCISCO DEPT MED,USA
178,GRIVOYANNIS A,GRIVOYANNIS,ANASTASIA,GRIVOYANNIS ANASTASIA,GRIVOYANNIS ANASTASIA,SEATTLE,UNIV WASHINGTON DIV EMERGENCY MED,USA
181,HAMED K,HAMED,KAMAL,HAMED KAMAL,HAMED KAMAL,E HANOVER,NOVARTIS PHARMACEUT,USA
186,HWANG J,HWANG,JIMEE,HWANG JIMEE,HWANG JIMEE,ATLANTA,CTR DIS CONTROL & PREVENT DIV PARASIT DIS & MALARIA MALARIA BRANCH,USA
192,KACHUR P S,KACHUR,PATRICK S,KACHUR PATRICK S,KACHUR PATRICK S,ATLANTA,CTR DIS CONTROL & PREVENT DIV PARASIT DIS & MALARIA MALARIA BRANCH,USA
237,PLOWE C V,PLOWE,CHRISTOPHER V,PLOWE CHRISTOPHER V,PLOWE CHRISTOPHER V,BALTIMORE,UNIV MARYLAND SCH MED HOWARD HUGHES MED INST CTR VACCINE DEV,USA
243,ROSENTHAL P J,ROSENTHAL,PHILIP J,ROSENTHAL PHILIP J,ROSENTHAL PHILIP J,SAN FRANCISCO,UNIV CALIF SAN FRANCISCO DEPT MED,USA
265,THWING J I,THWING,JULIE I,THWING JULIE I,THWING JULIE I,ATLANTA,CTR DIS CONTROL & PREVENT DIV PARASIT DIS & MALARIA MALARIA BRANCH,USA
335,GREEN M,GREEN,MICHAEL,GREEN MICHAEL,GREEN MICHAEL,ATLANTA,CTR DIS CONTROL & PREVENT,USA
335,GREEN M D,GREEN,MICHAEL D,GREEN MICHAEL D,GREEN MICHAEL,ATLANTA,CTR DIS CONTROL & PREVENT,USA
371,XIONG X,XIONG,XU,XIONG XU,XIONG XU,NEW ORLEANS,TULANE UNIV DEPT EPIDEMIOL,USA
372,DAY K P,DAY,KAREN P,DAY KAREN P,DAY KAREN P,NEW YORK,NYU SCH MED,USA
372,DAY K R,DAY,KAREN R,DAY KAREN R,DAY KAREN P,NEW YORK,NYU SCH MED,USA
393,WILLIAMS J,WILLIAMS,JACOB,WILLIAMS JACOB,WILLIAMS JACOB,WASHINGTON,RES TRIANGLE INST,USA
406,KACHUR S P,KACHUR,S PATRICK,KACHUR S PATRICK,KACHUR S PATRICK,ATLANTA,US CTR DIS CONTROL & PREVENT,USA
431,BLACK W C,BLACK,WILLIAM C,BLACK WILLIAM C,BLACK WILLIAM C,FT COLLINS,COLORADO STATE UNIV DEPT MICROBIOL IMMUNOL & PATHOL,USA
469,JENKINS A,JENKINS,ADAM,JENKINS ADAM,JENKINS ADAM M,CHESTNUT HILL,BOSTON COLL,USA
469,JENKINS A M,JENKINS,ADAM M,JENKINS ADAM M,JENKINS ADAM M,CHESTNUT HILL,BOSTON COLL,USA
470,REGNA K,REGNA,KIMBERLEY,REGNA KIMBERLEY,REGNA KIMBERLY,CHESTNUT HILL,BOSTON COLL,USA
470,REGNA K,REGNA,KIMBERLY,REGNA KIMBERLY,REGNA KIMBERLY,CHESTNUT HILL,BOSTON COLL,USA
472,MUSKAVITCH M,MUSKAVITCH,MARC,MUSKAVITCH MARC,MUSKAVITCH MARC A T,BOSTON,BOSTON COLL,USA
472,MUSKAVITCH M A T,MUSKAVITCH,MARC A T,MUSKAVITCH MARC A T,MUSKAVITCH MARC A T,BOSTON,BOSTON COLL,USA
486,ROWE A K,ROWE,AK,ROWE AK,ROWE ALEXANDER K,ATLANTA,CTR DIS CONTROL & PREVENT DIV PARASIT DIS,USA
486,ROWE A K,ROWE,ALEXANDER K,ROWE ALEXANDER K,ROWE ALEXANDER K,ATLANTA,CTR DIS CONTROL & PREVENT DIV PARASIT DIS,USA
490,DEMING M S,DEMING,MS,DEMING MS,DEMING MS,ATLANTA,CTR DIS CONTROL & PREVENT DIV PARASIT DIS,USA
490,DEMING M S,DEMING,MICHAEL S,DEMING MICHAEL S,DEMING MS,ATLANTA,CTR DIS CONTROL & PREVENT DIV PARASIT DIS,USA
526,FRIED M,FRIED,MICHAL,FRIED MICHAL,FRIED MICHAL,SEATTLE,SEATTLE BIOMED RES INST,USA
528,DUFFY P E,DUFFY,PATRICK E,DUFFY PATRICK E,DUFFY PATRICK E,SEATTLE,SEATTLE BIOMED RES INST,USA
593,KROGSTAD D J,KROGSTAD,DONALD J,KROGSTAD DONALD J,KROGSTAD DONALD J,NEW ORLEANS,TULANE UNIV HLTH SCI CTR,USA
604,ANDRIANO K,ANDRIANO,K,ANDRIANO K,ANDRIANO K,E HANOVER,NOVARTIS,USA
604,ANDRIANO K,ANDRIANO,KIM,ANDRIANO KIM,ANDRIANO K,E HANOVER,NOVARTIS,USA
654,JOHNSON H,JOHNSON,H,JOHNSON H,JOHNSON ELIZABETH K,SEATTLE,UNIV WASHINGTON INST HLTH METR & EVALUAT,USA
698,WEST S,WEST,SHEILA,WEST SHEILA,WEST SHEILA,BALTIMORE,JOHNS HOPKINS SCH MED WILMER EYE INST,USA
701,BEACH R,BEACH,RAYMOND,BEACH RAYMOND,BEACH RAYMOND,ATLANTA,CTR DIS CONTROL,USA
716,DAVIDSON L L,DAVIDSON,LESLIE L,DAVIDSON LESLIE L,DAVIDSON LESLIE L,NEW YORK,COLUMBIA UNIV MAILMAN SCH PUBL HLTH,USA
717,BOIVIN M J,BOIVIN,MICHAEL J,BOIVIN MICHAEL J,BOIVIN MICHAEL J,E LANSING,MICHIGAN STATE UNIV DEPT PSYCHIAT,USA
734,TAYLOR S M,TAYLOR,STEVE M,TAYLOR STEVE M,TAYLOR STEVE M,DURHAM,DUKE UNIV MED CTR DIV INFECT DIS & INT HLTH,USA
739,CLARK M A,CLARK,MARTHA A,CLARK MARTHA A,CLARK MARTHA A,CHAPEL HILL,UNIV N CAROLINA DEPT MICROBIOL & IMMUNOL,USA
748,MESHNICK S R,MESHNICK,STEVEN R,MESHNICK STEVEN R,MESHNICK STEVEN R,CHAPEL HILL,UNIV N CAROLINA DEPT EPIDEMIOL GILLINGS SCH GLOBAL PUBL HLTH,USA
764,FINN T P,FINN,TIMOTHY P,FINN TIMOTHY P,FINN TIMOTHY P,NEW ORLEANS,TULANE UNIV SCH PUBL HLTH & TROP MED DEPT GLOBAL HLTH SYST & DEV,USA
784,AGOSSOU C,AGOSSOU,CHRISTIAN,AGOSSOU CHRISTIAN,AGOSSOU CHRISTIAN,DENVER,UNIV COLORADO SCH PUBL HLTH,USA
784,AGOSSOU C D,AGOSSOU,CHRISTIAN D,AGOSSOU CHRISTIAN D,AGOSSOU CHRISTIAN,DENVER,UNIV COLORADO SCH PUBL HLTH,USA
815,RECHT J,RECHT,JUDITH,RECHT JUDITH,RECHT JUDITH,NEW YORK,UNICEF NEW YORK,USA
865,DANDONA L,DANDONA,LALIT,DANDONA LALIT,DANDONA LALIT,SEATTLE,UNIV WASHINGTON INST HLTH METR & EVALUAT,USA
866,SALOMON J A,SALOMON,JOSHUA A,SALOMON JOSHUA A,SALOMON JOSHUA A,CAMBRIDGE,HARVARD UNIV,USA
868,JOHNSON E K,JOHNSON,ELIZABETH K,JOHNSON ELIZABETH K,JOHNSON ELIZABETH K,SEATTLE,UNIV WASHINGTON INST HLTH METR & EVALUAT,USA
870,ABRAHAM J P,ABRAHAM,JERRY P,ABRAHAM JERRY P,ABRAHAM JERRY P,SAN ANTONIO,UNIV TEXAS SAN ANTONIO SCH MED,USA
889,AMANKWAA A A,AMANKWAA,ADANSI A,AMANKWAA ADANSI A,AMANKWAA ADANSI A,ALBANY,ALBANY STATE UNIV,USA
893,ANDERSON B O,ANDERSON,BENJAMIN O,ANDERSON BENJAMIN O,ANDERSON BENJAMIN O,SEATTLE,UNIV WASHINGTON,USA
905,BASU S,BASU,SANJAY,BASU SANJAY,BASU SANJAY,STANFORD,STANFORD UNIV,USA
908,BELL M L,BELL,MICHELLE L,BELL MICHELLE L,BELL MICHELLE L,NEW HAVEN,YALE UNIV,USA
914,BIN ABDULHAK A,BIN ABDULHAK,AREF,BIN ABDULHAK AREF,BIN ABDULHAK AREF,KANSAS CITY,UNIV MISSOURI,USA
918,BOSE D,BOSE,DIPAN,BOSE DIPAN,BOSE DIPAN,WASHINGTON,WORLD BANK,USA
920,BREITBORDE N,BREITBORDE,NICHOLAS,BREITBORDE NICHOLAS,BREITBORDE NICHOLAS,TUCSON,UNIV ARIZONA,USA
923,COOPER L T,COOPER,LESLIE TRUMBULL,COOPER LESLIE TRUMBULL,COOPER LESLIE TRUMBULL,ROCHESTER,MAYO CLIN,USA
927,CRIQUI M H,CRIQUI,MICHAEL H,CRIQUI MICHAEL H,CRIQUI MICHAEL H,SAN DIEGO,UNIV CALIF SAN DIEGO,USA
929,DAYAMA A,DAYAMA,ANAND,DAYAMA ANAND,DAYAMA ANAND,ATLANTA,EMORY UNIV SCH MED,USA
933,DES JARLAIS D C,DES JARLAIS,DON C,DES JARLAIS DON C,DES JARLAIS DON C,NEW YORK,BETH ISRAEL DEACONESS MED CTR,USA
937,DING E L,DING,ERIC L,DING ERIC L,DING ERIC L,CAMBRIDGE,HARVARD UNIV HARVARD SCH PUBL HLTH,USA
939,DURRANI A M,DURRANI,ADNAN M,DURRANI ADNAN M,DURRANI ADNAN M,MONTGOMERY,NIH,USA
940,ELLENBOGEN R G,ELLENBOGEN,RICHARD G,ELLENBOGEN RICHARD G,ELLENBOGEN RICHARD G,SEATTLE,HARBORVIEW,USA
945,FIJABI D O,FIJABI,DANIEL OBADARE,FIJABI DANIEL OBADARE,FIJABI DANIEL OBADARE,WALTHAM,BRANDEIS UNIV HELLER GRAD SCH,USA
947,GAFFIKIN L,GAFFIKIN,LYNNE,GAFFIKIN LYNNE,GAFFIKIN LYNNE,STANFORD,STANFORD UNIV SCH MED,USA
954,GLASER E L,GLASER,ELIZABETH L,GLASER ELIZABETH L,GLASER ELIZABETH L,WALTHAM,BRANDEIS UNIV HELLER SCH SOCIAL POLICY & MANAGEMENT,USA
955,GONA P,GONA,PHILIMON,GONA PHILIMON,GONA PHILIMON,WORCESTER,UNIV MASSACHUSETTS SCH MED,USA
961,HAMMAMI M,HAMMAMI,MOUHANAD,HAMMAMI MOUHANAD,HAMMAMI MOUHANAD,DETROIT,WAYNE CTY DEPT HLTH & HUMAN SERV,USA
969,HORNBERGER J C,HORNBERGER,JOHN C,HORNBERGER JOHN C,HORNBERGER JOHN C,MENLO PK,CEDAR ASSOCIATES,USA
970,HOSGOOD H D,HOSGOOD,H DEAN,HOSGOOD H DEAN,HOSGOOD H DEAN,BRONX,ALBERT EINSTEIN COLL MED,USA
971,HOTEZ P J,HOTEZ,PETER J,HOTEZ PETER J,HOTEZ PETER J,HOUSTON,BAYLOR COLL MED,USA
973,HUANG J J,HUANG,JOHN J,HUANG JOHN J,HUANG JOHN J,NEW HAVEN,YALE UNIV,USA
975,IDRISOV B T,IDRISOV,BULAT T,IDRISOV BULAT T,IDRISOV BULAT T,WALTHAM,BRANDEIS UNIV,USA
977,JACOBSEN K H,JACOBSEN,KATHRYN H,JACOBSEN KATHRYN H,JACOBSEN KATHRYN H,FAIRFAX,GEORGE MASON UNIV,USA
979,JENSEN P N,JENSEN,PAUL N,JENSEN PAUL N,JENSEN PAUL N,SEATTLE,UNIV WASHINGTON,USA
988,KAUL A,KAUL,ANIL,KAUL ANIL,KAUL ANIL,TULSA,OKLAHOMA STATE UNIV,USA
990,KAZI D S,KAZI,DHRUV S,KAZI DHRUV S,KAZI DHRUV S,SAN FRANCISCO,UNIV CALIF SAN FRANCISCO,USA
1005,KULKARNI V S,KULKARNI,VEENA S,KULKARNI VEENA S,KULKARNI VEENA S,JONESBORO,ARKANSAS STATE UNIV,USA
1010,KWAN G F,KWAN,GENE F,KWAN GENE F,KWAN GENE F,BOSTON,BOSTON MED CTR,USA
1014,LAN Q,LAN,QING,LAN QING,LAN QING,ROCKVILLE,NATL CANC INST,USA
1015,LANSINGH V C,LANSINGH,VAN C,LANSINGH VAN C,LANSINGH VAN C,WESTON,IAPB & VIS 2020 LA,USA
1020,LEUNG R,LEUNG,RICKY,LEUNG RICKY,LEUNG RICKY,RENSSELAER,SUNY ALBANY,USA
1022,LI Y M,LI,YONGMEI,LI YONGMEI,LI YONGMEI,SAN FRANCISCO,GENENTECH INC,USA
1024,LIPSHULTZ S E,LIPSHULTZ,STEVEN E,LIPSHULTZ STEVEN E,LIPSHULTZ STEVEN E,MIAMI,WAYNE STATE UNIV,USA
1026,LIU Y,LIU,YANG,LIU YANG,LIU YANG,ATLANTA,EMORY UNIV,USA
1035,MASCI J R,MASCI,JOSEPH R,MASCI JOSEPH R,MASCI JOSEPH R,ELMHURST,ELMHURST HOSP CTR MT SINAI SERV,USA
1040,MEANEY P A,MEANEY,PETER A,MEANEY PETER A,MEANEY PETER A,PHILADELPHIA,UNIV PENN PERELEMAN SCH MED,USA
1045,MILLER T R,MILLER,TED R,MILLER TED R,MILLER TED R,CALVERTON,PACIFIC INST RES & EVALUAT,USA
1051,MOORE A R,MOORE,AMI R,MOORE AMI R,MOORE AMI R,DENTON,UNIV N TEXAS,USA
1060,NARAYAN K M V,NARAYAN,K M VENKAT,NARAYAN K M VENKAT,NARAYAN K M VENKAT,ATLANTA,EMORY UNIV,USA
1061,NASH D,NASH,DENIS,NASH DENIS,NASH DENIS,NEW YORK,CUNY SCH PUBL HLTH,USA
1063,NELSON R G,NELSON,ROBERT G,NELSON ROBERT G,NELSON ROBERT G,PHOENIX,NIDDK,USA
1073,OMER S B,OMER,SAAD B,OMER SAAD B,OMER SAAD B,ATLANTA,EMORY UNIV,USA
1088,QATO D,QATO,DIMA,QATO DIMA,QATO DIMA,CHICAGO,UNIV ILLINOIS COLL PHARM,USA
1090,QUISTBERG D A,QUISTBERG,D ALEX,QUISTBERG D ALEX,QUISTBERG D ALEX,SEATTLE,UNIV WASHINGTON,USA
1094,RAJU M,RAJU,MURUGESAN,RAJU MURUGESAN,RAJU MURUGESAN,COLUMBIA,UNIV MISSOURI,USA
1096,RAZAVI H,RAZAVI,HOMIE,RAZAVI HOMIE,RAZAVI HOMIE,LOUISVILLE,CTR DIS ANAL,USA
1106,SAWHNEY M,SAWHNEY,MONIKA,SAWHNEY MONIKA,SAWHNEY MONIKA,HUNTINGTON,MARSHALL UNIV,USA
1108,SCHWEBEL D C,SCHWEBEL,DAVID C,SCHWEBEL DAVID C,SCHWEBEL DAVID C,BIRMINGHAM,UNIV ALABAMA BIRMINGHAM,USA
1115,SHIVAKOTI R,SHIVAKOTI,RUPAK,SHIVAKOTI RUPAK,SHIVAKOTI RUPAK,BALTIMORE,JOHNS HOPKINS UNIV CTR CLIN GLOBAL HLTH EDUC,USA
1117,SILBERBERG D H,SILBERBERG,DONALD H,SILBERBERG DONALD H,SILBERBERG DONALD H,PHILADELPHIA,UNIV PENN,USA
1119,SINGH J A,SINGH,JASVINDER A,SINGH JASVINDER A,SINGH JASVINDER A,BIRMINGHAM,UNIV ALABAMA BIRMINGHAM,USA
1122,SONEJI S,SONEJI,SAMIR,SONEJI SAMIR,SONEJI SAMIR,LEBANON,DARTMOUTH COLL,USA
1128,SYKES B L,SYKES,BRYAN L,SYKES BRYAN L,SYKES BRYAN L,CHICAGO,UNIV CALIF IRVINE DEPT CRIMINOL LAW & SOC,USA
1129,TABB K M,TABB,KAREN M,TABB KAREN M,TABB KAREN M,CHAMPAIGN,UNIV ILLINOIS,USA
1132,TERKAWI A S,TERKAWI,ABDULLAH SULIEMAN,TERKAWI ABDULLAH SULIEMAN,TERKAWI ABDULLAH SULIEMAN,CHARLOTTESVILLE,UNIV VIRGINIA DEPT ANESTHESIOL,USA
1134,TOWBIN J A,TOWBIN,JEFFREY A,TOWBIN JEFFREY A,TOWBIN JEFFREY A,CINCINNATI,CINCINNATI CHILDRENS HOSP MED CTR,USA
1136,TRAN B X,TRAN,BACH X,TRAN BACH X,TRAN BACH X,BALTIMORE,JOHNS HOPKINS UNIV JOHNS HOPKINS BLOOMBERG SCH PUBL HLTH,USA
1139,UCHENDU U S,UCHENDU,UCHE S,UCHENDU UCHE S,UCHENDU UCHE S,WASHINGTON,DEPT VET AFFAIRS,USA
1148,WALLER S,WALLER,STEPHEN,WALLER STEPHEN,WALLER STEPHEN,BETHESDA,UNIFORMED SERV UNIV HLTH SCI,USA
1149,WALLIN M T,WALLIN,MITCHELL T,WALLIN MITCHELL T,WALLIN MITCHELL T,WASHINGTON,VA MED CTR,USA
1158,WILKINSON J D,WILKINSON,JAMES D,WILKINSON JAMES D,WILKINSON JAMES D,MIAMI,UNIV MIAMI,USA
1163,YANG Y C,YANG,YONG C,YANG YONG C,YANG YONG C,CHAPEL HILL,UNIV N CAROLINA,USA
1168,YOUNIS M,YOUNIS,MUSTAFA,YOUNIS MUSTAFA,YOUNIS MUSTAFA,JACKSON,JACKSON STATE UNIV,USA
1183,TANNO T,TANNO,TOSHIHIKO,TANNO TOSHIHIKO,TANNO TOSHIHIKO,BETHESDA,NIH MOL MED BRANCH,USA
1192,THOMAS M B,THOMAS,MATTHEW B,THOMAS MATTHEW B,THOMAS MATTHEW B,UNIVERSITY PK,PENN STATE UNIV DEPT ENTOMOL CHEM ECOL LAB 1,USA
1193,SALLAS W M,SALLAS,W M,SALLAS W M,SALLAS W M,E HANOVER,NOVARTIS PHARMACEUT,USA
1216,WILLIAMS C J,WILLIAMS,C J,WILLIAMS C J,WILLIAMS C J,MOSCOW,UNIV IDAHO DEPT STAT,USA
1222,OSTERHOLT D M,OSTERHOLT,DAWN M,OSTERHOLT DAWN M,OSTERHOLT DAWN M,ATLANTA,CTR DIS CONTROL & PREVENT DIV PARASIT DIS,USA
1277,MANOUKIS N C,MANOUKIS,NICHOLAS C,MANOUKIS NICHOLAS C,MANOUKIS NICHOLAS C,HILO,USDA ARS US PACIFIC BASIN AGR RES CTR,USA
1279,PITTS R J,PITTS,R JASON,PITTS R JASON,PITTS R JASON,NASHVILLE,VANDERBILT UNIV DEPT BIOL SCI,USA
1308,SLUSTKER L,SLUSTKER,LAURENCE,SLUSTKER LAURENCE,SLUSTKER LAURENCE,ATLANTA,CTR DIS CONTROL & PREVENT DIV PARASIT DIS & MALARIA CTR GLOBAL HLTH,USA
1315,FIELD S G,FIELD,STUART G,FIELD STUART G,FIELD STUART G,FT COLLINS,COLORADO STATE UNIV DEPT MICROBIOL IMMUNOL & PATHOL,USA
1316,LEHMANN T,LEHMANN,T,LEHMANN T,LEHMANN T,ROCKVILLE,NIAID LAB MALARIA & VECTOR RES NIH,USA
1333,DAILY J,DAILY,JOHANNA,DAILY JOHANNA,DAILY JOHANNA,BOSTON,HARVARD SCH PUBL HLTH,USA
1340,ROBERTSON S P,ROBERTSON,SHAWN P,ROBERTSON SHAWN P,ROBERTSON SHAWN P,RALEIGH,CTR PLANT HLTH SCI & TECHNOL ANIM & PLANT HLTH INSPECT SERV,USA
1360,CHAPMAN S,CHAPMAN,STEVEN,CHAPMAN STEVEN,CHAPMAN STEVEN,WASHINGTON,POPULAT SERV INT,USA
1383,BOY E,BOY,E,BOY E,BOY E,WASHINGTON,HARVESTPLUS,USA
1562,KEATING J,KEATING,JOSEPH,KEATING JOSEPH,KEATING J,NEW ORLEANS,TULANE UNIV  SCH PUBL HLTH & TROP MED  CTR APPL MALARIA RES & EVALUAT,USA
1563,EISELE T P,EISELE,THOMAS P,EISELE THOMAS P,EISELE T P,NEW ORLEANS,TULANE UNIV  SCH PUBL HLTH & TROP MED  CTR APPL MALARIA RES & EVALUAT,USA
1564,YUKICH J O,YUKICH,JOSHUA O,YUKICH JOSHUA O,YUKICH J O,NEW ORLEANS,TULANE UNIV  SCH PUBL HLTH & TROP MED  CTR APPL MALARIA RES & EVALUAT,USA
1609,MURRAY C J L,MURRAY,CHRISTOPHER J L,MURRAY CHRISTOPHER J L,MURRAY C J L,SEATTLE,UNIV WASHINGTON  INST HLTH METR & EVALUAT,USA
1610,ORTBLAD K F,ORTBLAD,KATRINA F,ORTBLAD KATRINA F,ORTBLAD K F,SEATTLE,UNIV WASHINGTON  INST HLTH METR & EVALUAT,USA
1611,GUINOVART C,GUINOVART,CATERINA,GUINOVART CATERINA,GUINOVART C,SEATTLE,UNIV WASHINGTON  INST HLTH METR & EVALUAT,USA
1613,WOLOCK T M,WOLOCK,TIMOTHY M,WOLOCK TIMOTHY M,WOLOCK T M,SEATTLE,UNIV WASHINGTON  INST HLTH METR & EVALUAT,USA
1614,ROBERTS D A,ROBERTS,D ALLEN,ROBERTS D ALLEN,ROBERTS D A,SEATTLE,UNIV WASHINGTON  INST HLTH METR & EVALUAT,USA
1615,DANSEREAU E A,DANSEREAU,EMILY A,DANSEREAU EMILY A,DANSEREAU E A,SEATTLE,UNIV WASHINGTON  INST HLTH METR & EVALUAT,USA
1616,GRAETZ N,GRAETZ,NICHOLAS,GRAETZ NICHOLAS,GRAETZ N,SEATTLE,UNIV WASHINGTON  INST HLTH METR & EVALUAT,USA
1617,BARBER R M,BARBER,RYAN M,BARBER RYAN M,BARBER R M,SEATTLE,UNIV WASHINGTON  INST HLTH METR & EVALUAT,USA
1618,BROWN J C,BROWN,JONATHAN C,BROWN JONATHAN C,BROWN J C,SEATTLE,UNIV WASHINGTON  INST HLTH METR & EVALUAT,USA
1619,WANG H D,WANG,HAIDONG,WANG HAIDONG,WANG H D,SEATTLE,UNIV WASHINGTON  INST HLTH METR & EVALUAT,USA
1620,DUBER H C,DUBER,HERBERT C,DUBER HERBERT C,DUBER H C,SEATTLE,UNIV WASHINGTON  INST HLTH METR & EVALUAT,USA
