True Id,init_name,last_name,first_name,full_name
0,DJENONTIN A,DJENONTIN,ARMEL,DJENONTIN ARMEL
1,ALOU L P A,ALOU,LUDOVIC P AHOUA,ALOU LUDOVIC P AHOUA
2,KOFFI A,KOFFI,ALPHONSINE,KOFFI ALPHONSINE
2,KOFFI A A,KOFFI,ALPHONSINE A,KOFFI ALPHONSINE A
2,KOFFI A,KOFFI,A,KOFFI A
3,ZOGO B,ZOGO,BARNABAS,ZOGO BARNABAS
4,DUARTE E,DUARTE,ELVES,DUARTE ELVES
5,NGUESSAN R,NGUESSAN,RAPHAEL,NGUESSAN RAPHAEL
5,NGUESSAN R,NGUESSAN,R,NGUESSAN R
5,GUESSAN R N,GUESSAN,R N,GUESSAN R N
6,MOIROUX N,MOIROUX,NICOLAS,MOIROUX NICOLAS
7,PENNETIER C,PENNETIER,CEDRIC,PENNETIER CEDRIC
7,PENNETIER C,PENNETIER,C,PENNETIER C
8,BIGUEZOTON A,BIGUEZOTON,ABEL,BIGUEZOTON ABEL
9,NOEL V,NOEL,VALERIE,NOEL VALERIE
10,ADAKAL H,ADAKAL,HASSANE,ADAKAL HASSANE
11,ZOUNGRANA S,ZOUNGRANA,SEBASTIEN,ZOUNGRANA SEBASTIEN
12,CHEVILLON C,CHEVILLON,CHRISTINE,CHEVILLON CHRISTINE
13,OXBOROUGH R M,OXBOROUGH,R M,OXBOROUGH R M
13,OXBOROUGH R M,OXBOROUGH,RICHARD M,OXBOROUGH RICHARD M
14,KITAU J,KITAU,J,KITAU J
14,KITAU J,KITAU,JOVIN,KITAU JOVIN
15,MATOWO J,MATOWO,J,MATOWO J
15,MATOWO J,MATOWO,JOHNSON,MATOWO JOHNSON
16,MNDEME R,MNDEME,R,MNDEME R
17,FESTON E,FESTON,E,FESTON E
18,BOKO M,BOKO,MICHEL,BOKO MICHEL
19,BOKO P,BOKO,P,BOKO P
19,BOKO P M,BOKO,PELAGIE M,BOKO PELAGIE M
19,BOKO P,BOKO,PELAGIE,BOKO PELAGIE
19,BOKO P M,BOKO,P M,BOKO P M
20,ODJO A,ODJO,A,ODJO A
20,ODJO A,ODJO,ABIBATH,ODJO ABIBATH
20,ODJO A,ODJO,ABIBATOU,ODJO ABIBATOU
20,ODJO A,ODJO,ABIBATHOU,ODJO ABIBATHOU
20,ODJO A,ODJO,ABIBA,ODJO ABIBA
21,METONNOU C G,METONNOU,C G,METONNOU C G
21,METONNOU C,METONNOU,C,METONNOU C
22,IRISH S,IRISH,S,IRISH S
22,IRISH S,IRISH,SETH,IRISH SETH
22,IRISH S R,IRISH,S R,IRISH S R
22,IRISH S R,IRISH,SETH R,IRISH SETH R
23,MOSHA F W,MOSHA,F W,MOSHA F W
23,MOSHA F,MOSHA,F,MOSHA F
23,MOSHA F W,MOSHA,FRANKLIN W,MOSHA FRANKLIN W
24,ROWLAND M,ROWLAND,MARK,ROWLAND MARK
24,ROWLAND M,ROWLAND,M,ROWLAND M
24,ROWLAND M W,ROWLAND,MARK W,ROWLAND MARK W
25,ROWLAND M W,ROWLAND,M W,ROWLAND M W
26,DAMIEN G B,DAMIEN,GEORGIA B,DAMIEN GEORGIA B
26,DAMIEN G,DAMIEN,GEORGIA,DAMIEN GEORGIA
26,DAMIEN G B,DAMIEN,GEORGIA BARIKISSOU,DAMIEN GEORGIA BARIKISSOU
27,EGROT M,EGROT,MARC,EGROT MARC
28,CHANDRE F,CHANDRE,FABRICE,CHANDRE FABRICE
28,CHANDRE F,CHANDRE,F,CHANDRE F
29,CORBEL V,CORBEL,VINCENT,CORBEL VINCENT
29,CORBEL V,CORBEL,V,CORBEL V
29,VINCENT C,VINCENT,CORBEL,VINCENT CORBEL
30,KILLEEN G F,KILLEEN,GERRY F,KILLEEN GERRY F
31,DJEGBE I,DJEGBE,INNOCENT,DJEGBE INNOCENT
32,AGOSSA R F,AGOSSA,RODRIGUE FIACRE,AGOSSA RODRIGUE FIACRE
33,AGOSSA F R,AGOSSA,FIACRE R,AGOSSA FIACRE R
33,AGOSSA F,AGOSSA,FIACRE,AGOSSA FIACRE
34,JONES C M,JONES,CHRISTOPHER M,JONES CHRISTOPHER M
35,POUPARDIN R,POUPARDIN,RODOLPHE,POUPARDIN RODOLPHE
36,CORNELIE S,CORNELIE,SYLVIE,CORNELIE SYLVIE
37,AKOGBETO M,AKOGBETO,MARTIN,AKOGBETO MARTIN
37,AKOGBETO M,AKOGBETO,M,AKOGBETO M
37,AKOGBETO M C,AKOGBETO,MARTIN C,AKOGBETO MARTIN C
37,AKOGBETO M C,AKOGBETO,M C,AKOGBETO M C
37,AKOGBETO A,AKOGBETO,A,AKOGBETO A
37,MARTIN A,MARTIN,A,MARTIN A
37,MARTIN A C,MARTIN,AKOGBETO CODJO,MARTIN AKOGBETO CODJO
37,MARTIN A,MARTIN,AKOGBETO,MARTIN AKOGBETO
38,RANSON H,RANSON,HILARY,RANSON HILARY
39,NGUFOR C,NGUFOR,CORINE,NGUFOR CORINE
40,FAGBOHOUN J,FAGBOHOUN,JOSIAS,FAGBOHOUN JOSIAS
41,TODJINOU D,TODJINOU,DAMIEN,TODJINOU DAMIEN
42,MALONE D,MALONE,DAVID,MALONE DAVID
43,ISMAIL H,ISMAIL,HANAFY,ISMAIL HANAFY
43,ISMAIL H M,ISMAIL,HANAFY M,ISMAIL HANAFY M
44,HOUZE S,HOUZE,SANDRINE,HOUZE SANDRINE
44,HOUZE S,HOUZE,S,HOUZE S
45,HOUZE P,HOUZE,PASCAL,HOUZE PASCAL
45,HOUZE P,HOUZE,P,HOUZE P
46,BOLY M D,BOLY,MAINOUMATA DICKO,BOLY MAINOUMATA DICKO
47,LE BRAS J,LE BRAS,JACQUES,LE BRAS JACQUES
47,BRAS J,LE BRAS,JACQUES,LE BRAS JACQUES
48,DELORON P,DELORON,PHILIPPE,DELORON PHILIPPE
48,DELORON P,DELORON,P,DELORON P
49,FAUCHER J F,FAUCHER,JEANFRANCOIS,FAUCHER JEANFRANCOIS
49,FAUCHER J F,FAUCHER,J F,FAUCHER J F
49,FAUCHER J F,FAUCHER,JF,FAUCHER JF
50,NIELSEN M A,NIELSEN,MORTEN A,NIELSEN MORTEN A
50,NIELSEN M A,NIELSEN,MORTEN AGERTOUG,NIELSEN MORTEN AGERTOUG
51,RESENDE M,RESENDE,MAFALDA,RESENDE MAFALDA
52,DE JONGH W A,DE JONGH,WILLEM A,DE JONGH WILLEM A
53,DITLEV S B,DITLEV,SISSE B,DITLEV SISSE B
54,MORDMULLER B,MORDMUELLER,BENJAMIN,MORDMUELLER BENJAMIN
55,HOUARD S,HOUARD,SOPHIE,HOUARD SOPHIE
56,NDAM N T,NDAM,NICAISE TUIKUE,NDAM NICAISE TUIKUE
56,NDAM N G T,NDAM,NICAISE G TUIKUE,NDAM NICAISE G TUIKUE
56,NDAM N T,NDAM,NICAISE T,NDAM NICAISE T
56,NDAM N T,NDAM,N T,NDAM N T
56,NDAM N,NDAM,NICAISE,NDAM NICAISE
57,AGERBAEK M O,AGERBAEK,METTE O,AGERBAEK METTE O
58,HAMBORG M,HAMBORG,METTE,HAMBORG METTE
59,MASSOUGBODJI A,MASSOUGBODJI,ACHILLE,MASSOUGBODJI ACHILLE
59,MASSOUGBODJI A,MASSOUGBODJI,A,MASSOUGBODJI A
59,MASSOUGBODJI A,MASSOUGBODJI,ACHILE,MASSOUGBODJI ACHILE
59,MASSOUGBOGJI A,MASSOUGBOGJI,ACHILLE,MASSOUGBOGJI ACHILLE
60,ISSIFOU S,ISSIFOU,SADDOU,ISSIFOU SADDOU
60,ISSIFOU S,ISSIFOU,S,ISSIFOU S
61,STROBAEK A,STROBAEK,ANETTE,STROBAEK ANETTE
62,POULSEN L,POULSEN,LARS,POULSEN LARS
63,LEROY O,LEROY,ODILE,LEROY ODILE
64,KREMSNER P G,KREMSNER,PETER G,KREMSNER PETER G
64,KREMSNER P,KREMSNER,PETER,KREMSNER PETER
64,KREMSNER P G,KREMSNER,P G,KREMSNER P G
65,CHIPPAUX J P,CHIPPAUX,JEANPHILIPPE,CHIPPAUX JEANPHILIPPE
65,CHIPPAUX J P,CHIPPAUX,JEANPHILLIPE,CHIPPAUX JEANPHILLIPE
66,LUTY A J F,LUTY,ADRIAN J F,LUTY ADRIAN J F
66,LUTY A,LUTY,ADRIAN,LUTY ADRIAN
66,LUTY A J F,LUTY,A J F,LUTY A J F
66,LUTY A J,LUTY,ADRIAN J,LUTY ADRIAN J
67,THEANDER T G,THEANDER,THOR G,THEANDER THOR G
