Id,init_name,last_name,first_name,affiliation,city,country
1,AFFOLABI D,AFFOLABI,DISSOU,Lab Reference Mycobacteries,Cotonou,Benin,
2,AFFOLABI D,AFFOLABI,DISSOU,Lab Reference Mycobacteries,Cotonou,Benin,
3,AFFOLABI D,AFFOLABI,DISSOU,Inst Trop Med  Mycobacteriol Unit,B-2000 Antwerp,Belgium,
4,AFFOLABI D,AFFOLABI,DISSOU,Inst Trop Med  Mycobacteriol Unit,B-2000 Antwerp,Belgium,
5,ODOUN M,ODOUN,MATHIEU,Lab Reference Mycobacteries,Cotonou,Benin,
6,ODOUN M,ODOUN,MATHIEU,Lab Reference Mycobacteries,Cotonou,Benin,
7,ODOUN M,ODOUN,MATHIEU,Lab Reference Mycobacteries,Cotonou,Benin,
8,ODOUN M,ODOUN,MATHIEU,Lab Reference Mycobacteries,Cotonou,Benin,
9,SANOUSSI N,SANOUSSI,NDIRA,,,,
10,SANOUSSI N,SANOUSSI,NDIRA,,,,
11,SANOUSSI N,SANOUSSI,NDIRA,,,,
12,SANOUSSI N,SANOUSSI,NDIRA,,,,
13,MARTIN A,MARTIN,ANANDI,,,,
14,MARTIN A,MARTIN,ANANDI,,,,
15,MARTIN A,MARTIN,ANANDI,Inst Trop Med  Mycobacteriol Unit,B-2000 Antwerp,Belgium,
16,MARTIN A,MARTIN,ANANDI,Med Sans Frontieres,F-75011 Paris,France,
17,PALOMINO J C,PALOMINO,JUAN CARLOS,,,,
18,PALOMINO J C,PALOMINO,JUAN CARLOS,,,,
19,PALOMINO J C,PALOMINO,JUAN CARLOS,Inst Trop Med  Mycobacteriol Unit,B-2000 Antwerp,Belgium,
20,PALOMINO J C,PALOMINO,JUAN CARLOS,Inst Trop Med  Mycobacteriol Unit,B-2000 Antwerp,Belgium,
21,KESTENS L,KESTENS,LUC,,,,
22,KESTENS L,KESTENS,LUC,Inst Trop Med  Immunol Unit,B-2000 Antwerp,Belgium,
23,KESTENS L,KESTENS,LUC,Inst Trop Med  Immunol Unit,B-2000 Antwerp,Belgium,
24,KESTENS L,KESTENS,LUC,Inst Trop Med  Immunol Unit,B-2000 Antwerp,Belgium,
25,ANAGONOU S,ANAGONOU,SEVERIN,Lab Reference Mycobacteries,Cotonou,Benin,
26,ANAGONOU S,ANAGONOU,SEVERIN,Lab Reference Mycobacteries,Cotonou,Benin,
27,ANAGONOU S,ANAGONOU,SEVERIN,Lab Reference Mycobacteries,Cotonou,Benin,
28,ANAGONOU S,ANAGONOU,SEVERIN,Lab Reference Mycobacteries,Cotonou,Benin,
