Id,init_name,last_name,first_name,affiliation,city,country
1,AFFOLABI D,AFFOLABI,DISSOU,Lab Reference Mycobacteries,Cotonou,Benin
2,AFFOLABI D,AFFOLABI,DISSOU,Inst Trop Med  Mycobacteriol Unit,Antwerp,Belgium
3,ODOUN M,ODOUN,MATHIEU,Lab Reference Mycobacteries,Cotonou,Benin
4,SANOUSSI N,SANOUSSI,NDIRA,,,
5,MARTIN A,MARTIN,ANANDI,,,
6,MARTIN A,MARTIN,ANANDI,Inst Trop Med  Mycobacteriol Unit,Antwerp,Belgium
7,MARTIN A,MARTIN,ANANDI,Med Sans Frontieres,Paris,France
8,PALOMINO J C,PALOMINO,JUAN CARLOS,,,
9,PALOMINO J C,PALOMINO,JUAN CARLOS,Inst Trop Med  Mycobacteriol Unit,Antwerp,Belgium
10,KESTENS L,KESTENS,LUC,,,
11,KESTENS L,KESTENS,LUC,Inst Trop Med  Immunol Unit,Antwerp,Belgium
12,ANAGONOU S,ANAGONOU,SEVERIN,Lab Reference Mycobacteries,Cotonou,Benin
13,PORTAELS F,PORTAELS,FRANCOISE,,,
14,PORTAELS F,PORTAELS,FRANCOISE,Inst Trop Med  Mycobacteriol Unit,Antwerp,Belgium
15,ADE S,ADE,SERGE,Natl TB Programme,Cotonou,Benin
16,HARRIES A D,HARRIES,ANTHONY D,,,
17,HARRIES A D,HARRIES,ANTHONY D,Int Union TB & Lung Dis,Paris,France
18,HARRIES A D,HARRIES,ANTHONY D,London Sch Hyg & Trop Med,London,England
19,TREBUCQ A,TREBUCQ,ARNAUD,,,
20,TREBUCQ A,TREBUCQ,ARNAUD,Int Union TB & Lung Dis,Paris,France
21,HINDERAKER S G,HINDERAKER,SVEN GUDMUND,,,
22,HINDERAKER S G,HINDERAKER,SVEN GUDMUND,Univ Bergen,Bergen,Norway
23,ADE G,ADE,GABRIEL,Natl TB Programme,Cotonou,Benin
24,AGODOKPESSI G,AGODOKPESSI,GILDAS,Natl TB Programme,Cotonou,Benin
25,AFFOLABI D,AFFOLABI,DISSOU,Natl TB Programme,Cotonou,Benin
26,ANAGONOU S,ANAGONOU,SEVERIN,Natl TB Programme,Cotonou,Benin
27,ADJOBIMEY M,ADJOBIMEY,M,Ctr Natl Hosp Pneumophtisiol,Cotonou,Benin
28,MASSEREY E,MASSEREY,E,,,
29,MASSEREY E,MASSEREY,E,Serv Sante Publ,Vaud,Switzerland
30,ADJONOU C,ADJONOU,C,Ctr Natl Hosp Pneumophtisiol,Cotonou,Benin
31,GBENAGNON G,GBENAGNON,G,,,
32,GBENAGNON G,GBENAGNON,G,Ctr Hosp Pneumophtisiol Akron,Akron,Benin
33,SCHWOEBEL V,SCHWOEBEL,V,,,
34,SCHWOEBEL V,SCHWOEBEL,V,Int Union TB & Lung Dis,Paris,France
35,ANAGONOU S,ANAGONOU,S,Ctr Natl Hosp Pneumophtisiol,Cotonou,Benin
36,ZELLWEGER J P,ZELLWEGER,J P,,,
37,SMYTHE W,SMYTHE,WYNAND,Univ Cape Town  Dept Med  Div Clin Pharmacol,Cape Town,South Africa
38,MERLE C S,MERLE,CORINNE S,,,
39,MERLE C S,MERLE,CORINNE S,Univ London London Sch Hyg & Trop Med  Fac Epidemiol & Populat Hlth  Trop Epidemiol Grp,London,England
40,RUSTOMJEE R,RUSTOMJEE,ROXANA,,,
41,RUSTOMJEE R,RUSTOMJEE,ROXANA,MRC  Unit Clin & Biomed TB Res,Durban,South Africa
42,GNINAFON M,GNINAFON,MARTIN,,,
43,GNINAFON M,GNINAFON,MARTIN,Programme Natl Lutte TB,Cotonou,Benin
44,LO M B,LO,MAME BOCAR,,,
45,LO M B,LO,MAME BOCAR,Programme Natl Lutte TB,Dakar,Senegal
46,BAHSOW O,BAHSOW,OUMOU,,,
47,OLLIARO P L,OLLIARO,PIERO L,,,
48,OLLIARO P L,OLLIARO,PIERO L,WHO  UNICEF  UNDP  World Bank WHO Special Programme Res & Training T,Zurich,Switzerland
49,LIENHARDT C,LIENHARDT,CHRISTIAN,,,
50,LIENHARDT C,LIENHARDT,CHRISTIAN,IRD,Paris,France
51,HORTON J,HORTON,JOHN,,,
52,HORTON J,HORTON,JOHN,Trop Projects,Hitchin,England
53,SMITH P,SMITH,PETER,Univ Cape Town  Dept Med  Div Clin Pharmacol,Cape Town,South Africa
54,MCILLERON H,MCILLERON,HELEN,Univ Cape Town  Dept Med  Div Clin Pharmacol,Cape Town,South Africa
55,MCILLERON H,MCILLERON,HELEN,Univ Cape Town  Inst Infect Dis & Mol Med,Cape Town,South Africa
56,SIMONSSON U S H,SIMONSSON,ULRIKA S H,,,
57,SIMONSSON U S H,SIMONSSON,ULRIKA S H,Uppsala Univ  Dept Pharmaceut Biosci,Uppsala,Sweden
58,AGODOKPESSI G,AGODOKPESSI,G,Ctr Natl Hosp Pneumophtisiol,Cotonou,Benin
59,AGODOKPESSI G,AGODOKPESSI,G,Fac Sci Sante,Cotonou,Benin
60,ADE G,ADE,G,Ctr Natl Hosp Pneumophtisiol,Cotonou,Benin
61,ADE G,ADE,G,Fac Sci Sante,Cotonou,Benin
62,ADE S,ADE,S,Ctr Natl Hosp Pneumophtisiol,Cotonou,Benin
63,WACHINOU A P,WACHINOU,A P,Ctr Natl Hosp Pneumophtisiol,Cotonou,Benin
64,AFFOLABI D,AFFOLABI,D,Ctr Natl Hosp Pneumophtisiol,Cotonou,Benin
65,AFFOLABI D,AFFOLABI,D,Fac Sci Sante,Cotonou,Benin
66,ANAGONOU S,ANAGONOU,S,Fac Sci Sante,Cotonou,Benin
67,GNINAFON M,GNINAFON,M,Ctr Natl Hosp Pneumophtisiol,Cotonou,Benin
68,GNINAFON M,GNINAFON,M,Fac Sci Sante,Cotonou,Benin
69,AFFOLABI D,AFFOLABI,D,,,
70,AFFOLABI D,AFFOLABI,D,Lab Reference Mycobacteries,Cotonou,Benin
71,TORREA G,TORREA,G,Inst Trop Med  Mycobacteriol Unit,Antwerp,Belgium
72,ODOUN M,ODOUN,M,,,
73,ODOUN M,ODOUN,M,Lab Reference Mycobacteries,Cotonou,Benin
74,SENOU N,SENOU,N,,,
75,SENOU N,SENOU,N,Lab Reference Mycobacteries,Cotonou,Benin
76,LIGALI M A,LIGALI,M ALI,,,
77,LIGALI M A,LIGALI,M ALI,Lab Reference Mycobacteries,Cotonou,Benin
78,ANAGONOU S,ANAGONOU,S,,,
79,ANAGONOU S,ANAGONOU,S,Lab Reference Mycobacteries,Cotonou,Benin
80,VAN DEUN A,VAN DEUN,A,Inst Trop Med  Mycobacteriol Unit,Antwerp,Belgium
81,VAN DEUN A,VAN DEUN,A,Int Union TB & Lung Dis,Paris,France
82,AFFOLABI D,AFFOLABI,DISSOU,Inst Trop Med,Antwerp,Belgium
83,FAIHUN F,FAIHUN,FRANK,Lab Reference Mycobacteries,Cotonou,Benin
84,ANYO G,ANYO,GLADYS,,,
85,ANYO G,ANYO,GLADYS,Inst Trop Med,Antwerp,Belgium
86,SHAMPUTA I C,SHAMPUTA,ISDORE CHOLA,,,
87,SHAMPUTA I C,SHAMPUTA,ISDORE CHOLA,Inst Trop Med,Antwerp,Belgium
88,RIGOUTS L,RIGOUTS,LEEN,,,
89,RIGOUTS L,RIGOUTS,LEEN,Inst Trop Med,Antwerp,Belgium
90,KESTENS L,KESTENS,LUC,Inst Trop Med,Antwerp,Belgium
91,PORTAELS F,PORTAELS,FRANCOISE,Inst Trop Med,Antwerp,Belgium
92,LAOKRI S,LAOKRI,SAMIA,Univ Libre Bruxelles,Brussels,Belgium
93,DRAMAIXWILMET M,DRAMAIXWILMET,MICHELE,,,
94,KASSA F,KASSA,FERDINAND,,,
95,KASSA F,KASSA,FERDINAND,Programme Natl TB,Cotonou,Benin
96,ANAGONOU S,ANAGONOU,SEVERIN,,,
97,ANAGONOU S,ANAGONOU,SEVERIN,Programme Natl TB,Cotonou,Benin
98,DUJARDIN B,DUJARDIN,BRUNO,Univ Libre Bruxelles,Brussels,Belgium
99,AFFOLABI D,AFFOLABI,D,Inst Trop Med  Mycobacteriol Unit,Antwerp,Belgium
100,ANYO G,ANYO,G,,,
101,ANYO G,ANYO,G,Inst Trop Med  Mycobacteriol Unit,Antwerp,Belgium
102,FAIHUN F,FAIHUN,F,Lab Reference Mycobacteries,Cotonou,Benin
103,SANOUSSI N,SANOUSSI,N,Lab Reference Mycobacteries,Cotonou,Benin
104,SHAMPUTA I C,SHAMPUTA,I C,,,
105,SHAMPUTA I C,SHAMPUTA,I C,Inst Trop Med  Mycobacteriol Unit,Antwerp,Belgium
106,RIGOUTS L,RIGOUTS,L,,,
107,RIGOUTS L,RIGOUTS,L,Inst Trop Med  Mycobacteriol Unit,Antwerp,Belgium
108,KESTENS L,KESTENS,L,,,
109,KESTENS L,KESTENS,L,Inst Trop Med  Immunol Unit,Antwerp,Belgium
110,PORTAELS F,PORTAELS,F,,,
111,PORTAELS F,PORTAELS,F,Inst Trop Med  Mycobacteriol Unit,Antwerp,Belgium
112,FERROUSSIER O,FERROUSSIER,O,Int Union Against TB & Lung Dis,Paris,France
113,DLODLO R A,DLODLO,R A,Int Union Against TB & Lung Dis,Paris,France
114,CAPOCHICHI D,CAPOCHICHI,D,,,
115,BOILLOT F,BOILLOT,F,Int Union Against TB & Lung Dis,Paris,France
116,GNINAFON M,GNINAFON,M,,,
117,GNINAFON M,GNINAFON,M,Programme Natl Lutte TB,Cotonou,Benin
118,TREBUCQ A,TREBUCQ,A,Int Union Against TB & Lung Dis,Paris,France
119,FUJIWARA P I,FUJIWARA,P I,Int Union Against TB & Lung Dis,Paris,France
120,TREBUCQ A,TREBUCQ,A,,,
121,AITKHALED N,AITKHALED,N,,,
122,LOUIS J P,LOUIS,JP,,,
123,ADE S,ADE,SERGE,Nat TB Programme,Cotonou,Benin
124,ADE S,ADE,SERGE,Univ Parakou  Fac Med,Parakou,Benin
125,ADE S,ADE,SERGE,Int Union TB & Lung Dis,Paris,France
126,ADE G,ADE,GABRIEL,Nat TB Programme,Cotonou,Benin
127,AGODOKPESSI G,AGODOKPESSI,GILDAS,Nat TB Programme,Cotonou,Benin
128,WACHINOU P,WACHINOU,PRUDENCE,Nat TB Programme,Cotonou,Benin
129,AFFOLABI D,AFFOLABI,DISSOU,Nat TB Programme,Cotonou,Benin
130,ANAGONOU S,ANAGONOU,SEVERIN,Nat TB Programme,Cotonou,Benin
131,MERLE C S,MERLE,CORINNE S,London Sch Hyg & Trop Med,London,England
132,FIELDING K,FIELDING,KATHERINE,London Sch Hyg & Trop Med,London,England
133,SOW O B,SOW,OMOU BAH,,,
134,SOW O B,SOW,OMOU BAH,Hop Ignace Deen  Serv Pneumophtisiol,Conakry,Guinea
135,GNINAFON M,GNINAFON,MARTIN,Ctr Natl Hosp Pneumophtisiol,Cotonou,Benin
136,LO M B,LO,MAME B,,,
137,LO M B,LO,MAME B,Programme Natl Lutte TB,Dakar,Senegal
138,MTHIYANE T,MTHIYANE,THULI,,,
139,MTHIYANE T,MTHIYANE,THULI,MRC,Durban,South Africa
140,ODHIAMBO J,ODHIAMBO,JOSEPH,,,
141,ODHIAMBO J,ODHIAMBO,JOSEPH,Kenya Govt Med Res Ctr,Nairobi,Kenya
142,AMUKOYE E,AMUKOYE,EVANS,,,
143,AMUKOYE E,AMUKOYE,EVANS,Kenya Govt Med Res Ctr,Nairobi,Kenya
144,BAH B,BAH,BOUBACAR,,,
145,BAH B,BAH,BOUBACAR,Hop Ignace Deen  Serv Pneumophtisiol,Conakry,Guinea
146,KASSA F,KASSA,FERDINAND,Ctr Natl Hosp Pneumophtisiol,Cotonou,Benin
147,NDIAYE A,NDIAYE,ALIMATOU,,,
148,RUSTOMJEE R,RUSTOMJEE,ROXANA,MRC,Durban,South Africa
149,DE JONG B C,DE JONG,BOUKE C,,,
150,DE JONG B C,DE JONG,BOUKE C,Inst Trop Med,Antwerp,Belgium
151,PERRONNE C,PERRONNE,CHRISTIAN,,,
152,PERRONNE C,PERRONNE,CHRISTIAN,Hop Univ Paris Ile de France Ouest  Assistance Publ Hop Paris,Paris,France
153,SISMANIDIS C,SISMANIDIS,CHARALAMBOS,London Sch Hyg & Trop Med,London,England
154,LAPUJADE O,LAPUJADE,OLIVIER,,,
155,LAPUJADE O,LAPUJADE,OLIVIER,Inst Rech Dev,Marseille,France
156,OLLIARO P L,OLLIARO,PIERO L,WHO  Special Program Res & Training Trop Dis,Geneva,Switzerland
157,LIENHARDT C,LIENHARDT,CHRISTIAN,Inst Rech Dev,Marseille,France
158,MERLE C S,MERLE,C S,WHO  TDR,Geneva,Switzerland
159,MERLE C S,MERLE,C S,London Sch Hyg & Trop Med  IDEU,London,England
160,FLOYD S,FLOYD,S,,,
161,FLOYD S,FLOYD,S,London Sch Hyg & Trop Med  IDEU,London,England
162,NDIAYE A,NDIAYE,A,,,
163,NDIAYE A,NDIAYE,A,Natl TB Programme,Dakar,Senegal
164,GALPERINE T,GALPERINE,T,,,
165,GALPERINE T,GALPERINE,T,Tenon Hosp,Paris,France
166,FURCO A,FURCO,A,,,
167,FURCO A,FURCO,A,UCL,London,England
168,DE JONG B C,DE JONG,B C,,,
169,DE JONG B C,DE JONG,B C,Inst Trop Med,Antwerp,Belgium
170,MCILLERON H,MCILLERON,H,,,
171,MCILLERON H,MCILLERON,H,Univ Cape Town  Clin Pharmacol Lab,Cape Town,South Africa
172,GLYNN J,GLYNN,J,,,
173,SARR M,SARR,M,,,
174,SARR M,SARR,M,Natl TB Programme,Dakar,Senegal
175,BAHSOW O,BAHSOW,O,,,
176,AFFOLABI D,AFFOLABI,D,Natl TB Programme,Cotonou,Benin
177,GEHRE F,GEHRE,FLORIAN,Inst Trop Med,Antwerp,Belgium
178,GEHRE F,GEHRE,FLORIAN,MRC  Gambia Unit,Fajara,Gambia
179,EJO M,EJO,MEBRAT,Inst Trop Med,Antwerp,Belgium
180,FISSETTE K,FISSETTE,KRISTINA,Inst Trop Med,Antwerp,Belgium
181,DE RIJK P,DE RIJK,PIM,Inst Trop Med,Antwerp,Belgium
182,UWIZEYE C,UWIZEYE,CECILE,Inst Trop Med,Antwerp,Belgium
183,NDUWAMAHORO E,NDUWAMAHORO,ELIE,Inst Trop Med,Antwerp,Belgium
184,GOOVAERTS O,GOOVAERTS,ODIN,Inst Trop Med,Antwerp,Belgium
185,AFFOLABI D,AFFOLABI,DISSOU,,,
186,GNINAFON M,GNINAFON,MARTIN,Lab Reference Mycobacteries,Cotonou,Benin
187,LINGOUPOU F M,LINGOUPOU,FANNY M,,,
188,LINGOUPOU F M,LINGOUPOU,FANNY M,Inst Pasteur  Lab Mycobacteries,Bangui,Central African Republic
189,BARRY M D,BARRY,MAMADOU DIAN,,,
190,BARRY M D,BARRY,MAMADOU DIAN,Lab Reference Mycobacteries,Conakry,Guinea
191,SOW O,SOW,OUMOU,,,
192,SOW O,SOW,OUMOU,Lab Reference Mycobacteries,Conakry,Guinea
193,MERLE C,MERLE,CORINNE,,,
194,MERLE C,MERLE,CORINNE,London Sch Hyg & Trop Med,London,England
195,OLLIARO P,OLLIARO,PIERO,,,
196,OLLIARO P,OLLIARO,PIERO,WHO  Special Programme Res & Training Trop Dis TDR  UNICEF  UNDP World Bank,Geneva,Switzerland
